Ref_ID,doi_raw,doi_norm,publication_year,grouped_fold,chronological_role,row_random_fold,row_random_DOI_seen_in_train
3,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,5,True
4,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,2,True
5,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,1,True
6,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,1,True
7,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,2,True
8,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,1,True
9,10.1021/jp5126624,10.1021/jp5126624,2015,5,train_through_2018,2,True
10,10.1016/j.electacta.2017.06.032,10.1016/j.electacta.2017.06.032,2017,1,train_through_2018,3,True
11,10.1016/j.electacta.2017.06.032,10.1016/j.electacta.2017.06.032,2017,1,train_through_2018,3,True
12,10.1016/j.electacta.2017.06.032,10.1016/j.electacta.2017.06.032,2017,1,train_through_2018,4,True
13,10.1002/adfm.201604733,10.1002/adfm.201604733,2016,2,train_through_2018,2,True
14,10.1002/adfm.201604733,10.1002/adfm.201604733,2016,2,train_through_2018,3,True
15,10.1002/adfm.201604733,10.1002/adfm.201604733,2016,2,train_through_2018,1,True
20,10.1063/1.4896779,10.1063/1.4896779,2014,4,train_through_2018,3,True
21,10.1063/1.4896779,10.1063/1.4896779,2014,4,train_through_2018,4,True
22,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,5,True
23,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,5,True
24,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,2,True
25,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,5,True
26,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,3,True
27,10.1016/j.electacta.2017.12.108,10.1016/j.electacta.2017.12.108,2017,2,train_through_2018,3,True
28,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,2,True
29,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,3,True
30,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,5,True
31,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,5,True
32,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,3,True
33,10.1039/c9ta01893j,10.1039/c9ta01893j,2019,4,test_2019_onward,3,True
34,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,1,True
35,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,3,True
36,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,4,True
37,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,5,True
38,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,2,True
39,10.1021/acs.jpclett.5b01716,10.1021/acs.jpclett.5b01716,2015,2,train_through_2018,2,True
40,10.1016/j.jpowsour.2018.08.070,10.1016/j.jpowsour.2018.08.070,2018,5,train_through_2018,4,True
41,10.1016/j.jpowsour.2018.08.070,10.1016/j.jpowsour.2018.08.070,2018,5,train_through_2018,5,True
42,10.1016/j.jpowsour.2018.08.070,10.1016/j.jpowsour.2018.08.070,2018,5,train_through_2018,3,True
43,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,5,True
44,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,3,True
45,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,5,True
46,10.1002/aenm.201803587,10.1002/aenm.201803587,2019,3,test_2019_onward,1,True
