scheme,condition,model,training_weighting,recency_lambda,target,evaluation_lens,records,DOI_groups,R2,R2_CI_low,R2_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,PCE,Device-level,33175,6368,0.44106913365694167,0.4193566654077974,0.46256456588527844,2.950031188931207,2.894246641311799,3.006009840201327,3.871519106600232,3.7973486101188287,3.9402371287673272
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,PCE,Publication-balanced,33175,6368,0.4655455764131665,0.4475131633546774,0.48315889944676993,2.8983103253447084,2.8525989802052436,2.9404239953162836,3.780585426720017,3.723297020784464,3.8367763659224408
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Voc,Device-level,33175,6368,0.4891335635720665,0.4580456470695398,0.5184080809700029,0.08009946161406055,0.07801428562107257,0.08210841372150075,0.1220624034941953,0.11787104589758482,0.12615645701281905
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Voc,Publication-balanced,33175,6368,0.5031313854796119,0.474730844407644,0.5269238705727348,0.08094034790267789,0.0792206604737867,0.08267466990336805,0.12137633419856435,0.11808994284313776,0.1248725194061548
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Jsc,Device-level,33175,6368,0.44304783565915384,0.4125735226090375,0.4699150290526794,2.7491229888714908,2.685308595314897,2.8136549444274097,3.983261419686796,3.876225590569927,4.092673667308703
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Jsc,Publication-balanced,33175,6368,0.46396444923353364,0.43991025378876575,0.48751491301236877,2.723755255633198,2.670245977539431,2.776354065956936,3.9037887290121214,3.8182845113934296,3.990735218967903
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,FF,Device-level,33175,6368,0.2128538721830492,0.19086634766361796,0.2351058129398514,7.838299391765822,7.673247990869665,8.010471309026443,10.789653747744564,10.520934993982168,11.058167764289735
DOI-grouped 5-fold,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,FF,Publication-balanced,33175,6368,0.23613867251515241,0.21646574898246937,0.25667063603898965,7.747506154303878,7.622848671875487,7.883172230875703,10.50110191055694,10.306141672087966,10.702450861313329
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,PCE,Device-level,9116,1735,0.4043977538068928,0.35438999535113064,0.4533029066124909,3.1541720274669647,3.045487809402691,3.2741636727054577,4.038182859207982,3.899349022913401,4.174275812224844
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,PCE,Publication-balanced,9116,1735,0.4044974196146047,0.36347086167709286,0.44234374097419515,3.156297308087947,3.0689821946763556,3.249880137090946,4.009157841634404,3.9011504111841604,4.134301909369257
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Voc,Device-level,9116,1735,0.4685586272649863,0.3963934623004313,0.5291534181686613,0.08403393701194545,0.0801517607480153,0.08819124182282058,0.12065195092729937,0.11450392077339144,0.12724042592294912
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Voc,Publication-balanced,9116,1735,0.48774712764494754,0.42867568248013316,0.5372135306715843,0.08370875559924769,0.08053673619866258,0.08691127112403997,0.1179451920320773,0.11289098429216543,0.12346415243490938
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Jsc,Device-level,9116,1735,0.5098637117319647,0.4516848613906118,0.566737953927012,2.657470852003152,2.5406659337842865,2.7828500340133107,3.712488547892122,3.5326385904590967,3.894599101574981
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,Jsc,Publication-balanced,9116,1735,0.4995337776668398,0.447506594687145,0.5460906190958391,2.676871855645823,2.581875361485065,2.770195373389991,3.694813261254893,3.5426478729950928,3.846453340020527
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,FF,Device-level,9116,1735,0.17735143613976512,0.125489477279532,0.22673591259937406,7.748832059540273,7.516772058682591,8.030659190910093,10.35359770073036,9.980818573364301,10.772281698529182
Chronological >2018,Random Forest | Full DOI,Random Forest,Full 1/n_DOI,0.0,FF,Publication-balanced,9116,1735,0.17419756871822545,0.12743264369992144,0.2199332032655242,7.801343018130775,7.561614366109288,8.038812948252424,10.310361849360522,9.949972346788948,10.636364362354659
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,PCE,Device-level,33175,6368,0.4510710323628496,0.4303386012225435,0.4702729375113551,2.9389207013945113,2.884019163389163,2.9939268524675087,3.836722905630149,3.761104085211855,3.910326212715349
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,PCE,Publication-balanced,33175,6368,0.4731599142172497,0.456656963835385,0.4894011833209439,2.905867826441193,2.8607514795851934,2.9486392905114767,3.753557937933012,3.698000458065823,3.8104136854831174
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Voc,Device-level,33175,6368,0.5007306789398598,0.46971838833484614,0.5298986843089767,0.07943106486135938,0.07758064042128643,0.08136015216229465,0.1206689884506786,0.11687607785786036,0.1246106615834402
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Voc,Publication-balanced,33175,6368,0.513327097354596,0.48960870427113257,0.5389704343241954,0.08064948843842044,0.07885356170420917,0.08230511171305761,0.12012456207408212,0.11678666890873753,0.12332535324478909
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Jsc,Device-level,33175,6368,0.4497846163756133,0.421271419437091,0.4772933016664678,2.7261386727165857,2.655266606568719,2.7886687824316945,3.9590977655250574,3.845109266540384,4.066048831179006
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Jsc,Publication-balanced,33175,6368,0.4703654786555316,0.44753227101287657,0.49434856450814474,2.7168184960086843,2.6641450280548797,2.7686051521176167,3.8804103223680984,3.7919572826052192,3.9701637689517613
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,FF,Device-level,33175,6368,0.22574441885232088,0.20403000071046137,0.24591862974244488,7.795214392752358,7.642768996833644,7.947341003728644,10.700941713342838,10.448138969227225,10.943173464758317
DOI-grouped 5-fold,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,FF,Publication-balanced,33175,6368,0.25454375793891604,0.23866397183898339,0.2721592320284268,7.686713647777772,7.566303710920441,7.8212531400268475,10.373819553122148,10.187176500237259,10.570230228133056
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,PCE,Device-level,9116,1735,0.4452106166183708,0.3976689066119088,0.4881609396972815,3.023928589163111,2.922438110662185,3.1242211291044417,3.897372248344313,3.768586951505831,4.0301277024979925
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,PCE,Publication-balanced,9116,1735,0.4429190021708085,0.4015999134583556,0.4812704690648462,3.0247384261966004,2.9371957054208684,3.1149011808867235,3.8776669352253297,3.7572039937208435,3.995777565348385
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Voc,Device-level,9116,1735,0.5072804533080391,0.44406437171537033,0.5673539011813054,0.07976340235015154,0.07624756660369314,0.0830458881328298,0.11617336363915169,0.10977859405195016,0.12231689460089565
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Voc,Publication-balanced,9116,1735,0.5115736426505153,0.45903756694024994,0.562284617157318,0.08031190113754318,0.07739091344961137,0.08345101943277823,0.11516952793245527,0.11021628629588613,0.1206766513446556
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Jsc,Device-level,9116,1735,0.5385988720274153,0.48493386153313534,0.5914783346096288,2.5538219339072863,2.4491410120465353,2.6619292745240073,3.6020191697363613,3.435359148729914,3.767778064783079
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,Jsc,Publication-balanced,9116,1735,0.5273002736555501,0.47841542905932455,0.5713261427306818,2.5842628110539563,2.4911904188024363,2.682380603841027,3.5908542973285154,3.44194327087973,3.760213923017366
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,FF,Device-level,9116,1735,0.21943398311982965,0.17281727910945352,0.2648104178301124,7.408870946433605,7.130700274736493,7.6691134859654,10.085302613952093,9.65938639028784,10.487068259455883
Chronological >2018,CatBoost | Full DOI,CatBoost,Full 1/n_DOI,0.0,FF,Publication-balanced,9116,1735,0.2314307033078007,0.1903041129793089,0.2695827515334734,7.417917617906391,7.196480846528646,7.657046195908578,9.946661633796952,9.609550133469543,10.300080951628754
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,PCE,Device-level,9116,1735,0.4043977538068928,0.34951679456330487,0.45084468425187,3.1541720274669647,3.045372432214531,3.2790289694251675,4.038182859207982,3.9062969702041306,4.190680936695093
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,PCE,Publication-balanced,9116,1735,0.4044974196146047,0.364035813691534,0.4428924318027126,3.156297308087947,3.0676373015654277,3.245093208547439,4.009157841634404,3.8959799571870968,4.119274644428545
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,Voc,Device-level,9116,1735,0.4685586272649863,0.39624218060029254,0.5307490526062916,0.08403393701194545,0.08013988332226725,0.08807923768275548,0.12065195092729937,0.11426003102363289,0.12744356058171769
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,Voc,Publication-balanced,9116,1735,0.48774712764494754,0.43182992836194795,0.5387253064270253,0.0837087555992477,0.0805665847985591,0.0868966460119792,0.1179451920320773,0.1123437394699619,0.12335202244484866
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,Jsc,Device-level,9116,1735,0.5098637117319647,0.4484920478916135,0.5626790502615855,2.6574708520031525,2.5394490740844136,2.771952763198848,3.712488547892122,3.529475792710026,3.902232615977893
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,Jsc,Publication-balanced,9116,1735,0.4995337776668398,0.44905610207508834,0.5470013723082335,2.676871855645823,2.5839240181500194,2.7766496904677225,3.694813261254893,3.5434939633675104,3.848693848264445
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,FF,Device-level,9116,1735,0.17735143613976512,0.12426952129051053,0.22279606341051622,7.748832059540273,7.4869372084889045,8.030205953415635,10.35359770073036,9.954046239770559,10.78327943446565
Chronological >2018,Random Forest | Full DOI + recency,Random Forest,Full DOI + historical recency,0.0,FF,Publication-balanced,9116,1735,0.17419756871822534,0.12712943436441526,0.2176449750736161,7.801343018130775,7.567324387712202,8.016463185610524,10.310361849360524,9.981687469744873,10.659736366007698
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,PCE,Device-level,9116,1735,0.44451611752458975,0.39673139596054624,0.4921940235726001,3.0241270112918475,2.9223905381368076,3.1160022229622175,3.8998108989567677,3.7603947032514586,4.027339740979111
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,PCE,Publication-balanced,9116,1735,0.4434606658800836,0.40443797901346784,0.4769343048115194,3.0189792521768704,2.9285625959107784,3.10032369745712,3.8757813007505084,3.7539024993277876,3.9902987339337574
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,Voc,Device-level,9116,1735,0.5050804798567755,0.4394194211646781,0.5591833193827209,0.08012408781944952,0.0765724493373135,0.08377404202892931,0.11643242953759282,0.11018548394500066,0.12270885781583449
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,Voc,Publication-balanced,9116,1735,0.5114483439306653,0.4528675879314587,0.562188447343799,0.0804271545163598,0.07738937029408191,0.08370843543934914,0.1151842995237373,0.10993085793904003,0.12056285909072673
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,Jsc,Device-level,9116,1735,0.5423750708119917,0.48961281396935097,0.5960391771232874,2.5429265651089867,2.4364281641754557,2.6503114618870063,3.587249065913172,3.417332182658201,3.7546042187792192
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,Jsc,Publication-balanced,9116,1735,0.5325898769443189,0.48347697646999327,0.576868319635369,2.5741336085693494,2.4891093520577305,2.6675815854622806,3.5707065901899826,3.4239539441829914,3.7316366547990487
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,FF,Device-level,9116,1735,0.2175966669206999,0.17057865296150654,0.26235635322251305,7.400153359309935,7.13972826817581,7.647485357125376,10.097165158725794,9.664558682604605,10.505156836785812
Chronological >2018,CatBoost | Full DOI + recency,CatBoost,Full DOI + historical recency,0.025,FF,Publication-balanced,9116,1735,0.22899720467573448,0.18784275505837006,0.26829523620260654,7.414096692536264,7.163098085397506,7.647233109760577,9.96239610160042,9.579963612116485,10.303668993322402
