condition,measured_PCE_bin,records,DOI_groups,measured_PCE_mean,predicted_PCE_mean,mean_bias_predicted_minus_measured
CatBoost | Full DOI,0–5,812,311,2.4519126910640394,7.873425400447109,5.4215127093830695
CatBoost | Full DOI,5–10,1435,566,7.767456445993031,10.374212409717524,2.606755963724493
CatBoost | Full DOI,10–15,2712,952,12.783650442477876,12.612982078105647,-0.17066836437222932
CatBoost | Full DOI,15–20,3645,1046,17.442858710562415,14.878184915556744,-2.564673795005671
CatBoost | Full DOI,≥20,512,256,20.84666015625,16.207902281797622,-4.638757874452377
CatBoost | Full DOI + recency,0–5,812,311,2.4519126910640394,7.8743628099233645,5.4224501188593255
CatBoost | Full DOI + recency,5–10,1435,566,7.767456445993031,10.367078515398838,2.5996220694058065
CatBoost | Full DOI + recency,10–15,2712,952,12.783650442477876,12.581840822508108,-0.20180961996976876
CatBoost | Full DOI + recency,15–20,3645,1046,17.442858710562415,14.877606814353998,-2.5652518962084176
CatBoost | Full DOI + recency,≥20,512,256,20.84666015625,16.297930521183744,-4.548729635066255
Random Forest | Full DOI,0–5,812,311,2.4519126910640394,7.726287766380099,5.27437507531606
Random Forest | Full DOI,5–10,1435,566,7.767456445993031,9.961350676422652,2.1938942304296214
Random Forest | Full DOI,10–15,2712,952,12.783650442477876,12.200509812656692,-0.5831406298211839
Random Forest | Full DOI,15–20,3645,1046,17.442858710562415,14.544789080002785,-2.8980696305596307
Random Forest | Full DOI,≥20,512,256,20.84666015625,15.883916149209524,-4.962744007040476
Random Forest | Full DOI + recency,0–5,812,311,2.4519126910640394,7.726287766380099,5.27437507531606
Random Forest | Full DOI + recency,5–10,1435,566,7.767456445993031,9.961350676422652,2.1938942304296214
Random Forest | Full DOI + recency,10–15,2712,952,12.783650442477876,12.200509812656692,-0.5831406298211839
Random Forest | Full DOI + recency,15–20,3645,1046,17.442858710562415,14.544789080002785,-2.8980696305596307
Random Forest | Full DOI + recency,≥20,512,256,20.84666015625,15.883916149209524,-4.962744007040476
