model,validation_year,recency_lambda,half_life_years,train_through_year,validation_records,validation_DOI,publication_balanced_PCE_R2,publication_balanced_PCE_MAE,publication_balanced_PCE_RMSE,device_level_PCE_R2,device_level_PCE_MAE,high_PCE_records,high_PCE_mean_bias,high_PCE_MAE
Random Forest,2016,0.0,inf,2015,4971,974,0.3197453239623055,3.1516396240475952,3.9111724616376864,0.3191590511512633,3.1889289327724546,32,-5.383225150819332,5.383225150819332
CatBoost,2016,0.0,inf,2015,4971,974,0.32317761807383005,3.1978365787306737,3.9012928746625737,0.3415125146050171,3.1846685165306905,32,-6.640397374614133,6.640397374614133
Random Forest,2016,0.025,27.72588722239781,2015,4971,974,0.319161891139752,3.155196187284716,3.912849346339259,0.32289816698887397,3.183804042411888,32,-5.307144795462113,5.307144795462113
CatBoost,2016,0.025,27.72588722239781,2015,4971,974,0.32476011734283305,3.1872867030725245,3.896729339016922,0.33844521372921843,3.1857531163199457,32,-6.788567213362599,6.788567213362599
Random Forest,2016,0.05,13.862943611198904,2015,4971,974,0.32060446130960696,3.1510003168466816,3.908701845788642,0.3166392957998647,3.199358702258482,32,-5.556167925345313,5.556167925345313
CatBoost,2016,0.05,13.862943611198904,2015,4971,974,0.32344993866872107,3.188939221501414,3.9005079499089117,0.3354645691568686,3.1930457434231316,32,-6.617690341610517,6.617690341610517
Random Forest,2016,0.1,6.931471805599452,2015,4971,974,0.31974228314494013,3.1490146399075942,3.911181203325372,0.3156742521436806,3.2009584547697076,32,-5.262987928284636,5.262987928284636
CatBoost,2016,0.1,6.931471805599452,2015,4971,974,0.3249496577762073,3.1889607978478742,3.8961823929430404,0.33848670726633234,3.1869324051349692,32,-6.692960769790238,6.692960769790238
Random Forest,2016,0.15,4.620981203732969,2015,4971,974,0.32105247737986464,3.143416266539789,3.907412869095559,0.3216218770710014,3.1791802247241963,32,-5.370818375048815,5.370818375048815
CatBoost,2016,0.15,4.620981203732969,2015,4971,974,0.32851500005464584,3.177468509671473,3.8858797432803023,0.33903734192138246,3.1844974055024537,32,-6.643586941599221,6.643586941599221
Random Forest,2016,0.2,3.465735902799726,2015,4971,974,0.31958446691981823,3.151573848887162,3.911634863785643,0.31493930019808325,3.198021800444712,32,-5.391199278060526,5.391199278060526
CatBoost,2016,0.2,3.465735902799726,2015,4971,974,0.3285573339538168,3.181714195789678,3.8857572483369003,0.34329055980565415,3.1770823044413152,32,-6.508023420334137,6.508023420334137
Random Forest,2016,0.3,2.3104906018664844,2015,4971,974,0.3186664301003991,3.149687377264612,3.9142728211746975,0.3182710033911801,3.1870672903870743,32,-5.433050974332417,5.433050974332417
CatBoost,2016,0.3,2.3104906018664844,2015,4971,974,0.3300984587226232,3.177164679304291,3.8812953059968787,0.3416339047801006,3.178662634357105,32,-6.5339803333866815,6.5339803333866815
Random Forest,2017,0.0,inf,2016,6388,1220,0.32242165709024284,3.286506697295557,4.126034506948398,0.33618475201918996,3.2734769101461767,74,-5.62095092517156,5.62095092517156
CatBoost,2017,0.0,inf,2016,6388,1220,0.3509426340228817,3.2573873812294107,4.038263364540945,0.3589925045524549,3.2406532227044,74,-6.07754664684629,6.07754664684629
Random Forest,2017,0.025,27.72588722239781,2016,6388,1220,0.32782283363621767,3.2810167437092366,4.109556685684747,0.3310858177366015,3.2920568175153684,74,-5.689784191891627,5.689784191891627
CatBoost,2017,0.025,27.72588722239781,2016,6388,1220,0.3510335855409372,3.255493234141913,4.037980416476339,0.36011307527181635,3.234175938822533,74,-5.999445464233807,5.999445464233807
Random Forest,2017,0.05,13.862943611198904,2016,6388,1220,0.32816674952698166,3.284906230810616,4.108505234707669,0.33426065705207664,3.285536994387535,74,-5.733722209092281,5.733722209092281
CatBoost,2017,0.05,13.862943611198904,2016,6388,1220,0.35120379130453594,3.2596673557911062,4.0374508570146626,0.35838629774413266,3.2398811129578062,74,-6.013543356164721,6.013543356164721
Random Forest,2017,0.1,6.931471805599452,2016,6388,1220,0.32116197049269923,3.29676122566984,4.129868083532145,0.3282371441811469,3.2925192048962466,74,-5.761706152859518,5.761706152859518
CatBoost,2017,0.1,6.931471805599452,2016,6388,1220,0.3520543708493563,3.251767071970025,4.034803415980778,0.3621342639758933,3.2272859557596916,74,-5.915816245819592,5.915816245819592
Random Forest,2017,0.15,4.620981203732969,2016,6388,1220,0.32524555599829663,3.284300591206835,4.117427628033935,0.32946157785227204,3.2893833820224487,74,-5.854871732765767,5.854871732765767
CatBoost,2017,0.15,4.620981203732969,2016,6388,1220,0.3563460525693487,3.2420262926288403,4.021418912702618,0.3634691451533759,3.226060070651376,74,-5.9465302755157055,5.9465302755157055
Random Forest,2017,0.2,3.465735902799726,2016,6388,1220,0.32499024868761583,3.2852526714639865,4.118206511349252,0.33206547988039126,3.2847020276896846,74,-5.794897906508501,5.794897906508501
CatBoost,2017,0.2,3.465735902799726,2016,6388,1220,0.3533150237087921,3.2416806311583755,4.030876417533113,0.36521971564540223,3.2138579572028143,74,-5.820812414698214,5.820812414698214
Random Forest,2017,0.3,2.3104906018664844,2016,6388,1220,0.3195990492465053,3.290933823086981,4.134619546579879,0.3239520453691591,3.2930630351662638,74,-5.734790810824276,5.734790810824276
CatBoost,2017,0.3,2.3104906018664844,2016,6388,1220,0.3592141537425625,3.227819758796641,4.012449253109578,0.3673544553647162,3.2051063610257815,74,-5.792526563389325,5.792526563389325
Random Forest,2018,0.0,inf,2017,8152,1500,0.38211378379442507,3.2704675166801356,4.1195316375441235,0.3626788364036576,3.2557255650232446,174,-5.7313545978516975,5.7313545978516975
CatBoost,2018,0.0,inf,2017,8152,1500,0.42567621961392854,3.163988043670839,3.9716593188903944,0.40214361868200343,3.145083108967903,174,-5.193600692279774,5.193600692279774
Random Forest,2018,0.025,27.72588722239781,2017,8152,1500,0.3786778100738495,3.2830020261062947,4.130969810696917,0.3566250465607492,3.2775124390357,174,-5.736775419612001,5.736775419612001
CatBoost,2018,0.025,27.72588722239781,2017,8152,1500,0.4323261975546361,3.147405613930425,3.9485988547411903,0.40677915564824285,3.134402365108597,174,-5.145294931218568,5.145294931218568
Random Forest,2018,0.05,13.862943611198904,2017,8152,1500,0.3781411696599284,3.280934958608525,4.132753399723157,0.35666582410122294,3.271166039064572,174,-5.687545909708846,5.687545909708846
CatBoost,2018,0.05,13.862943611198904,2017,8152,1500,0.42758796527288323,3.1587160679255883,3.9650435981243013,0.40470059784061496,3.138300319181265,174,-5.148408884041593,5.148408884041593
Random Forest,2018,0.1,6.931471805599452,2017,8152,1500,0.3774581374982049,3.286857316474896,4.13502242659413,0.35522841433380514,3.2778519058348814,174,-5.702501198911552,5.702501198911552
