model,recency_lambda,mean_publication_balanced_PCE_MAE,sd_across_pseudo_futures,pseudo_future_count,mean_high_PCE_bias,se_across_pseudo_futures,raw_minimum_lambda,one_SE_threshold,selected_lambda_one_SE,selected
Random Forest,0.0,3.2362046126744293,0.07367320954591253,3.0,-5.578510224614196,0.042535247363396304,0.15,3.2779376792584545,0.0,True
Random Forest,0.025,3.2397383190334157,0.07322236247902623,3.0,-5.577901468988581,0.042274950687966155,0.15,3.2779376792584545,0.0,False
Random Forest,0.05,3.238947168755274,0.07619008676461587,3.0,-5.659145348048813,0.04398836710313192,0.15,3.2779376792584545,0.0,False
Random Forest,0.1,3.24421106068411,0.08259110576103221,3.0,-5.575731760018569,0.047683997143800796,0.15,3.2779376792584545,0.0,False
Random Forest,0.15,3.2329919047679483,0.07784836500308967,3.0,-5.640647917516325,0.04494577449050607,0.15,3.2779376792584545,0.0,False
Random Forest,0.2,3.2382901422649564,0.07518496010617487,3.0,-5.620215453761656,0.043408056956311336,0.15,3.2779376792584545,0.0,False
Random Forest,0.3,3.236811364781502,0.07618704162836093,3.0,-5.61683705730215,0.04398660899289541,0.15,3.2779376792584545,0.0,False
CatBoost,0.0,3.206404001210308,0.0472854058886397,3.0,-5.9705149045800665,0.027300241818546848,0.3,3.2063810846390863,0.025,False
CatBoost,0.025,3.1967285170482875,0.05465889039406481,3.0,-5.977769202938325,0.03155732508261957,0.3,3.2063810846390863,0.025,True
CatBoost,0.05,3.2024408817393692,0.051812274147276724,3.0,-5.926547527272277,0.029913830426256907,0.3,3.2063810846390863,0.025,False
CatBoost,0.1,3.1990566495845436,0.04845779855671961,3.0,-5.940085448264724,0.02797712304105873,0.3,3.2063810846390863,0.025,False
CatBoost,0.15,3.18584543796044,0.05249607954943244,3.0,-5.910507906222894,0.03030862565926483,0.3,3.2063810846390863,0.025,False
CatBoost,0.2,3.1881149638586734,0.05066941022243185,3.0,-5.822839203364194,0.029253997631600605,0.3,3.2063810846390863,0.025,False
CatBoost,0.3,3.1769443041418377,0.05098599943248753,3.0,-5.82060406239053,0.029436780497248783,0.3,3.2063810846390863,0.025,False
