comparison_type,target,unit,domain_type,domain,comparison,metric,estimate,CI_low,CI_high,CI_excludes_zero,domain_DOI,reference_DOI,inferential_eligible
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,MAE,0.17789347680191092,0.11684577339008793,0.23054271289275802,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,bias,-0.3380877924224587,-0.410420424605642,-0.27225624211398614,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,RMSE,0.15551072869850247,0.0874426161516588,0.21969219954124933,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,R2,-0.052359894121549844,-0.07440244364460312,-0.029702485136427554,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,mean_feature_OOD_percentile,0.01813329941064934,0.010907098017057013,0.025231028254709447,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,high_feature_OOD_fraction,0.03363830853054991,0.02168782136340278,0.04663314391797715,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,coverage_90,-0.0013101995221524998,-0.010351717826418999,0.00791790992006516,False,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA (no FA/Cs),chronological - DOI-grouped,interval_90_mean_width,0.6148375117246729,0.47775341598022936,0.752886414969358,True,928,928,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,MAE,0.0020688655143179524,-0.2604073880376811,0.25582506175639697,False,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,bias,-0.7695702370998712,-1.0001594536247411,-0.5199551693942231,True,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,RMSE,0.00835998958213846,-0.2716442679355019,0.29985237749019045,False,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,R2,-0.0022480332518136636,-0.0747661867995249,0.07831426984769818,False,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,mean_feature_OOD_percentile,0.025548131172159816,0.001042197462254499,0.050773283838473064,True,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,high_feature_OOD_fraction,0.021505376344086002,-0.031463399656104174,0.07830988455988448,False,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,coverage_90,0.007661290322580672,-0.012376893939393828,0.028462440360008744,False,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA (no MA/Cs),chronological - DOI-grouped,interval_90_mean_width,0.7438636801261787,0.13542057216426828,1.3553937153792563,True,62,62,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,MAE,0.6966916255877287,0.5358055396598871,0.8677980986315772,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,bias,-1.2614652238919275,-1.4507824818176633,-1.0759321166783335,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,RMSE,0.6722672729998842,0.502024380072849,0.8436899296274094,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,R2,-0.22130646850742952,-0.29893419705631524,-0.15558648265502967,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,mean_feature_OOD_percentile,0.04753136488900733,0.03608049201246659,0.059922335774836945,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,high_feature_OOD_fraction,0.20240113529225623,0.14938365557351344,0.2624523413938603,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,coverage_90,0.012148887098177186,-0.003656931794224116,0.02721972033277175,False,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,Cs (no FA/MA),chronological - DOI-grouped,interval_90_mean_width,2.1362405778284916,1.7808724843577026,2.496347401997168,True,174,174,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,MAE,0.2870073455660327,0.1548083446321414,0.41519604987536735,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,bias,-0.6286062911850473,-0.7775708143414333,-0.482276290855767,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,RMSE,0.29290842832124,0.15543783942773376,0.4311026338321894,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,R2,-0.1192585484183023,-0.1880001911826462,-0.06016819322807205,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,mean_feature_OOD_percentile,0.059284149563402444,0.04294137547944132,0.07411198727906766,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,high_feature_OOD_fraction,0.036888492770845716,0.015750030620720275,0.059155783874365035,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,coverage_90,0.0005185664009192958,-0.019455757985482953,0.01852253248054034,False,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA,chronological - DOI-grouped,interval_90_mean_width,0.8102281355046124,0.505794582786994,1.1244960326461164,True,255,255,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,MAE,0.41796018922339995,0.17000631568271107,0.6795976009409449,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,bias,-0.8280484296095055,-1.0943193273903327,-0.6237263848801298,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,RMSE,0.3697436172137758,0.09640291582624108,0.6497631945841663,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,R2,-0.1586297599238904,-0.3295085815862285,-0.03625003498137639,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,mean_feature_OOD_percentile,0.06122274590344401,0.03884252905968661,0.0833647485439586,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,high_feature_OOD_fraction,0.07407407407407404,0.02487310071265295,0.13336538461538458,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,coverage_90,0.00526269640852961,-0.019883461047254174,0.033177574133664345,False,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+Cs,chronological - DOI-grouped,interval_90_mean_width,0.8281626587422437,0.3084899140293669,1.374572198635383,True,72,72,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,MAE,0.13320183864916624,-0.5755274950200626,0.9566235645368327,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,bias,-0.3095663300596905,-1.124008687379963,0.43919582586897005,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,RMSE,0.2528074916380594,-0.47892895010549974,1.1145479405634868,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,R2,-0.1993194645931975,-1.120815465577026,0.41541400048329663,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,mean_feature_OOD_percentile,0.06808611892701888,0.03836121129011563,0.1013365684410013,True,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,high_feature_OOD_fraction,0.0,-0.2,0.2,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,coverage_90,0.0,0.0,0.0,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,MA+Cs,chronological - DOI-grouped,interval_90_mean_width,0.7500048271846396,-0.17247945352229951,1.7784513500244368,False,15,15,False
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,MAE,0.08957106063805442,-0.016809987898397927,0.2041407221698147,False,342,342,True
Chronological minus DOI-grouped on identical future records,PCE,percentage point,A-site pattern,FA+MA+Cs,chronological - DOI-grouped,bias,-0.28947002241772773,-0.4159392701845156,-0.16369340492958098,True,342,342,True
