domain_type,domain,historical_records,historical_DOI,future_records,future_DOI,historical_record_share,future_record_share,historical_DOI_share,future_DOI_share,future_formula_unseen_device_fraction,future_formula_unseen_DOI_balanced_fraction,support_class,descriptive_eligible,inferential_eligible
A-site pattern,MA (no FA/Cs),18738,3772,4713,928,0.7788353630657966,0.5170030715225976,0.8141592920353983,0.5348703170028818,0.031402503713133884,0.032132050181619146,established (>=100 historical DOI),True,True
A-site pattern,FA (no MA/Cs),612,177,301,62,0.025437466228854066,0.0330188679245283,0.03820418735160803,0.035734870317002884,0.21926910299003322,0.14408602150537636,established (>=100 historical DOI),True,True
A-site pattern,Cs (no FA/MA),814,162,862,174,0.03383349266386799,0.09455901711276876,0.03496654435570904,0.10028818443804034,0.04640371229698376,0.04490928555330178,established (>=100 historical DOI),True,True
A-site pattern,FA+MA,2009,382,1107,255,0.0835030549898167,0.12143483984203599,0.0824519749622275,0.14697406340057637,0.04607046070460705,0.05158730158730159,established (>=100 historical DOI),True,True
A-site pattern,FA+Cs,511,103,331,72,0.021239453011347106,0.036309784993418165,0.022231815238506366,0.0414985590778098,0.09365558912386707,0.10509259259259258,established (>=100 historical DOI),True,True
A-site pattern,MA+Cs,85,20,38,15,0.003532981420674176,0.004168494953927161,0.004316857327865314,0.008645533141210375,0.07894736842105263,0.2,limited (10-99 historical DOI),True,False
A-site pattern,FA+MA+Cs,1166,250,1665,342,0.048464192194189286,0.18264589732338746,0.05396071659831642,0.19711815561959653,0.06726726726726727,0.06636302294197031,established (>=100 historical DOI),True,True
A-site pattern,Other/unknown,124,45,99,25,0.005153996425454092,0.01086002632733655,0.009712928987696956,0.01440922190201729,0.696969696969697,0.6133333333333333,limited (10-99 historical DOI),True,True
B-site pattern,Pb (no Sn),23162,4474,8768,1660,0.962716654890062,0.9618253620008775,0.9656809842434707,0.9567723342939481,0.048471715328467155,0.042767312614938414,established (>=100 historical DOI),True,True
B-site pattern,Sn (no Pb),389,83,155,30,0.01616858556049711,0.01700307152259763,0.017914957910641054,0.01729106628242075,0.25161290322580643,0.30787878787878786,limited (10-99 historical DOI),True,True
B-site pattern,Pb+Sn,274,57,98,25,0.01138866952076146,0.01075032909170689,0.012303043384416144,0.01440922190201729,0.3469387755102041,0.35,limited (10-99 historical DOI),True,True
B-site pattern,Other/unknown,234,63,95,25,0.009726090028679496,0.010421237384817903,0.01359810058277574,0.01440922190201729,0.23157894736842105,0.22,limited (10-99 historical DOI),True,True
A x B domain,Cs (no FA/MA) / Other/unknown,54,15,48,12,0.002244482314310653,0.005265467310223783,0.0032376429958989855,0.0069164265129683,0.08333333333333333,0.1111111111111111,limited (10-99 historical DOI),True,False
A x B domain,Cs (no FA/MA) / Pb (no Sn),655,124,807,159,0.02722473918284218,0.08852566915313734,0.026764515432764948,0.09164265129682997,0.04460966542750929,0.04076026637069922,established (>=100 historical DOI),True,True
A x B domain,Cs (no FA/MA) / Pb+Sn,5,3,2,1,0.00020782243651024565,0.00021939447125932427,0.0006475285991797971,0.0005763688760806917,0.0,0.0,sparse (<10 historical DOI),False,False
A x B domain,Cs (no FA/MA) / Sn (no Pb),100,22,5,2,0.004156448730204913,0.0005484861781483107,0.0047485430606518456,0.0011527377521613833,0.0,0.0,limited (10-99 historical DOI),False,False
A x B domain,FA (no MA/Cs) / Other/unknown,3,3,0,0,0.00012469346190614738,0.0,0.0006475285991797971,0.0,,,sparse (<10 historical DOI),False,False
A x B domain,FA (no MA/Cs) / Pb (no Sn),444,141,200,41,0.018454632362109813,0.021939447125932425,0.030433844161450466,0.02363112391930836,0.26,0.13008130081300814,established (>=100 historical DOI),True,True
A x B domain,FA (no MA/Cs) / Pb+Sn,38,9,1,1,0.001579450517477867,0.00010969723562966213,0.0019425857975393912,0.0005763688760806917,0.0,0.0,sparse (<10 historical DOI),False,False
A x B domain,FA (no MA/Cs) / Sn (no Pb),127,30,100,20,0.00527868988736024,0.010969723562966213,0.006475285991797971,0.011527377521613832,0.14,0.18,limited (10-99 historical DOI),True,True
