target,unit,warning_tier,evaluation,records,DOI_groups,record_fraction,descriptive_eligible,inferential_eligible,mean_measured,mean_measured_CI_low,mean_measured_CI_high,mean_predicted,mean_predicted_CI_low,mean_predicted_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,bias,bias_CI_low,bias_CI_high,absolute_bias,absolute_bias_CI_low,absolute_bias_CI_high,R2,R2_CI_low,R2_CI_high,coverage_95,coverage_95_CI_low,coverage_95_CI_high,mean_interval_95_half_width,mean_interval_95_half_width_CI_low,mean_interval_95_half_width_CI_high,large_error_fraction,large_error_fraction_CI_low,large_error_fraction_CI_high,mean_feature_OOD_percentile,mean_feature_OOD_percentile_CI_low,mean_feature_OOD_percentile_CI_high,mean_model_OOD_percentile,mean_model_OOD_percentile_CI_low,mean_model_OOD_percentile_CI_high,formula_unseen_fraction,formula_unseen_fraction_CI_low,formula_unseen_fraction_CI_high,mean_uncertainty_multiplier,mean_uncertainty_multiplier_CI_low,mean_uncertainty_multiplier_CI_high
PCE,percentage point,Amber,Publication-balanced,52,13,0.5306122448979592,True,False,14.617711538461538,12.908003298611114,16.43737375,12.559157327402906,11.86774070910125,13.284310882267576,3.2871681792061267,2.244489418175699,4.486314010561905,4.042155486155832,2.856963465177362,5.194586418241381,-2.058554211058629,-3.8258166152766524,-0.35123587420688596,2.058554211058629,0.3843400646359342,3.825816615276652,-0.3194140931516125,-1.700741948672644,0.1114511152401548,0.8991452991452993,0.717159090909091,1.0,7.380321416645103,6.502699246989975,8.085060862443404,0.29679487179487174,0.11784040178571427,0.5045512820512819,0.8147071941732982,0.7695319821411255,0.860073060213717,0.6240419918554919,0.5609120554620353,0.6859751056929282,0.0,0.0,0.0,1.7469196052070763,1.5391867318558998,1.9137311957769974
PCE,percentage point,Amber,Device-level,52,13,0.5306122448979592,True,False,13.394038461538461,11.708650710828794,15.341388259242958,12.0842578244085,11.384762964818472,12.967283884239588,3.239244671216927,2.347615431230871,4.206645353002571,3.9923148205583954,2.9784574220493667,4.909937227583283,-1.3097806371299592,-3.398156044987125,0.468231232428329,1.3097806371299592,0.06871779198094215,3.3981560449871244,-0.18947024295623738,-1.153988071790121,0.09202750470274473,0.9038461538461539,0.7878246753246753,1.0,7.600463725999939,6.8494488736154056,8.227549014929451,0.3076923076923077,0.15089321557607385,0.46941776710684274,0.8210904603107105,0.7564898369880393,0.8770702726828293,0.6343500113503023,0.5472539209166355,0.7178918477464893,0.0,0.0,0.0,1.7990272160328307,1.6212622522369016,1.947458093703993
PCE,percentage point,Red,Publication-balanced,46,16,0.46938775510204084,True,False,13.827194940476188,11.774866028911566,15.883839377289375,11.306790402142083,10.388159723392981,12.198435391155583,3.9659851237444816,2.9269291368619283,5.068891168384354,4.706738880644083,3.3989001038320614,5.916833638896339,-2.5204045383341085,-4.035755052775108,-1.0208799877220538,2.5204045383341085,1.0208799877220534,4.035755052775108,0.013831794432146438,-1.218525877490895,0.37524881667386023,0.9718750000000002,0.9321205357142858,1.0,10.376084448502215,9.099870008773902,11.506821733365937,0.39709821428571423,0.20235305059523806,0.6182719494047618,0.9294134125136816,0.8968188900362138,0.9526797517534352,0.6525207129695054,0.6087664006539478,0.6874881682908306,0.5625,0.3125,0.8,2.4560157105749,2.153936180517901,2.7236608468439076
PCE,percentage point,Red,Device-level,46,16,0.46938775510204084,True,False,13.09586956521739,10.838501666666666,15.658437096774193,11.491921625946075,10.466787256230573,12.311114467180465,4.399062203900498,2.971303977823268,5.898822337360806,5.342461247825248,3.4258863123230565,6.971268243708304,-1.6039479392713178,-3.719608452014234,0.3503528932042124,1.6039479392713178,0.11382615110408524,3.719608452014234,0.07227740407083716,-0.973368256991691,0.3528884211213858,0.9347826086956522,0.8703502415458937,1.0,10.21872967158958,8.696459898285163,11.417942024911342,0.4782608695652174,0.24986111111111112,0.66,0.9026857887403612,0.8521076045873159,0.9464355483246539,0.6554981684518312,0.611422963592879,0.6883960315038536,0.7391304347826086,0.464217032967033,0.909124830393487,2.418769887629885,2.0584491426008076,2.7026230496479418
PCE,percentage point,All,Publication-balanced,98,25,1.0,True,True,14.04150031746032,12.521402174603175,15.618361531746032,11.720021292381357,11.05601570813115,12.3964447794962,3.838381877222493,2.945668429900673,4.775546841742005,4.633906634248185,3.6518488362947377,5.561889250144639,-2.321479025078958,-3.650688199597793,-1.0118795599906896,2.321479025078958,1.0118795599906896,3.6506881995977927,-0.07542819340883433,-0.9116053276480627,0.24487149000146158,0.9295555555555555,0.831988888888889,0.9875555555555556,9.16011004118692,8.27716920842468,10.059407580259977,0.40125396825396825,0.24663412698412696,0.5686170634920634,0.8712189016815144,0.8347827230281115,0.9052993483612046,0.6440537382638051,0.6049800663646313,0.678145831774665,0.35,0.16,0.52,2.1681949759957337,1.9592031768700848,2.3810584020218775
PCE,percentage point,All,Device-level,98,25,1.0,True,True,13.254081632653062,11.83088366674244,14.824047934595525,11.806222465946544,11.198076142669484,12.409215223742155,3.7836488192112565,2.9321754437987178,4.815067646124645,4.674871030702866,3.5603408572415107,5.852099804388453,-1.4478591667065148,-2.963724768422017,-0.025868756598079287,1.4478591667065148,0.15379507735894615,2.963724768422017,-0.013036840511875258,-0.5806796927962053,0.1697353159919037,0.9183673469387755,0.8510516018586451,0.9764705882352941,8.829445700460383,7.898468605563654,9.81588900658977,0.3877551020408163,0.25227803738317756,0.5365917843388961,0.859390308349118,0.8156014298116341,0.8994905737243982,0.6442766973367343,0.5958221623368423,0.694435981608452,0.3469387755102041,0.13949478748997593,0.5714285714285714,2.0899268373947133,1.869564871125077,2.3234176372691246
Voc,V,Amber,Publication-balanced,26,8,0.2653061224489796,True,False,0.7164880952380954,0.6565428571428572,0.7641942857142858,0.7288147841050364,0.7184793495820541,0.7384862616187083,0.06102430969899609,0.024579537566874764,0.11095286357670867,0.10380272063401086,0.03298192891723035,0.16959820093159675,0.012326688866941089,-0.04398041632683069,0.07472695760251823,0.012326688866941089,0.0008547167296705738,0.07472695760251823,-0.12170386397060295,-1.8951114975644416,-0.09766160734103373,0.9583333333333334,0.8666666666666668,1.0,0.16681163038456168,0.13352282403117677,0.19917940340485854,0.14583333333333334,0.0,0.3519675925925925,0.8337860893557307,0.7717509875964093,0.8850311931580895,0.5651164597348978,0.49541858737482,0.6376041833666838,0.0,0.0,0.0,1.7600054484092422,1.4087800547245823,2.1015131522621773
Voc,V,Amber,Device-level,26,8,0.2653061224489796,True,False,0.662076923076923,0.5769833333333334,0.7616342857142856,0.7341924237299406,0.7206934280452006,0.741770603022914,0.10022823341283847,0.031247795353752224,0.16643530679973195,0.15781341133873533,0.03942075388355968,0.2253797709251913,0.07211550065301754,-0.03929000655205316,0.15539058414217638,0.07211550065301754,0.0013157207674043725,0.15539058414217638,-0.282307782253564,-1.742592742103918,-0.1083946474562996,0.8846153846153846,0.75,1.0,0.18456448394887193,0.1435444359718834,0.21681441685736585,0.2692307692307692,0.0,0.5333333333333333,0.8639818139381712,0.7773964895821581,0.8934224198844507,0.5347814827011801,0.4750525236571207,0.6166523500099292,0.0,0.0,0.0,1.9473132453893809,1.5145166366213276,2.287577635221967
Voc,V,Red,Publication-balanced,72,21,0.7346938775510204,True,True,0.7463528911564625,0.6897849053030303,0.8082376456207483,0.775519157906997,0.7473788601620927,0.8063615339559816,0.1066403400132206,0.07103245258642124,0.14755984373894715,0.14719822816277672,0.09682572895627407,0.1898141078591071,0.029166266750534346,-0.02436907852205402,0.08109208466900286,0.029166266750534346,0.0019265609545564342,0.08109208466900286,0.021050460368225,-0.7499544451602812,0.3222831326946329,1.0,1.0,1.0,0.37897721589637157,0.3130401487600041,0.44301763427814655,0.3412698412698412,0.1578825536062378,0.5439536340852129,0.8934439938326216,0.856736973326815,0.9280436989181898,0.666694376324868,0.627213718851245,0.6998887574831494,0.42857142857142855,0.2222222222222222,0.6471323529411764,3.998533934731629,3.302841451272315,4.674215150786471
Voc,V,Red,Device-level,72,21,0.7346938775510204,True,True,0.7435833333333333,0.6951771909682357,0.787215343803056,0.7742110482605754,0.7399556018318209,0.8109459920617488,0.10876713707854985,0.06656036931709283,0.15882063767774143,0.15233038145565947,0.09241546467975084,0.20248870861394436,0.03062771492724201,-0.01010718880609787,0.07830519991855493,0.03062771492724201,0.0019863896224217885,0.07830519991855493,-0.01671416767125855,-0.5174793996154967,0.2718226597865884,1.0,1.0,1.0,0.36895904923076794,0.30763687878891866,0.4326667471702349,0.3611111111111111,0.15185126582278483,0.5789664378337147,0.8577322646641821,0.8084858955536522,0.9135257066232739,0.6838166359551289,0.6405126428591081,0.7188522313689427,0.4722222222222222,0.19752217005738132,0.7354049153908138,3.8928337034354894,3.245832329267975,4.5650044341008575
Voc,V,All,Publication-balanced,98,25,1.0,True,True,0.7370142063492062,0.6887308234126985,0.79007175,0.7671139297055446,0.7423655064089278,0.7942041937810842,0.10253927390310506,0.07020924204950076,0.1383611050320729,0.14596124073301223,0.1011928455625989,0.1837575844867215,0.030099723356338197,-0.02016637541803923,0.07737423207450676,0.030099723356338197,0.001913582449915093,0.07737423207450676,0.00446583128171929,-0.6379186267209482,0.28895059152473784,0.9866666666666667,0.96,1.0,0.34137653690380665,0.27664362859372355,0.4054925038049837,0.33333333333333337,0.17333333333333337,0.49999999999999994,0.8712189016815144,0.8347827230281115,0.9052993483612046,0.6440537382638051,0.6049800663646313,0.678145831774665,0.35,0.16,0.52,3.601814594849643,2.9188270174578785,4.278292912434278
Voc,V,All,Device-level,98,25,1.0,True,True,0.7219591836734693,0.6724230134932535,0.7683204275678294,0.7635938621606111,0.7389765259962776,0.7930351036942193,0.10650171365703459,0.0670367514043765,0.14852122319724517,0.15380411412043096,0.09580389954447996,0.19882987623127488,0.041634678487141655,-0.0021944811452260277,0.0880791163887946,0.041634678487141655,0.0036984397298122276,0.0880791163887946,-0.018954166852521492,-0.40272202596764217,0.2276611196234978,0.9693877551020408,0.9081395960446034,1.0,0.3200380421151629,0.26411324054099683,0.38497060351661766,0.336734693877551,0.15617028061224492,0.5200208333333334,0.859390308349118,0.8156014298116341,0.8994905737243982,0.6442766973367343,0.5958221623368423,0.694435981608452,0.3469387755102041,0.13949478748997593,0.5714285714285714,3.376675214566114,2.78662070071222,4.061769302923545
Jsc,mA cm^-2,Amber,Publication-balanced,7,5,0.07142857142857142,True,False,26.037,22.335,29.740666666666666,25.90535164575515,23.13995244480956,27.659435910738736,2.5497545428499744,1.3178910316055887,3.9812756929018827,2.9504500930873703,1.4158531599383284,4.26446805355975,-0.13164835424484772,-2.341623393277455,2.852583880823166,0.13164835424484772,0.047571263607535386,3.0710190007660763,0.40687083037488736,-4.011437947774946,0.7699574452757226,1.0,1.0,1.0,6.389928973078361,5.409586034511825,7.424133563320286,0.2,0.0,0.6666666666666666,0.7858140404838106,0.6024010418831484,0.8820525016153472,0.5316762957728917,0.35579201130554056,0.7245313604056693,0.0,0.0,0.0,2.0790551437553413,1.760086492044478,2.4155484572329726
Jsc,mA cm^-2,Amber,Device-level,7,5,0.07142857142857142,True,False,25.515714285714285,22.335,29.564999999999994,25.291162834028192,22.683816752177435,27.633901450782442,2.2139678017536197,1.2772733736575583,3.7510366498179994,2.613127012381497,1.3822227595478627,4.050724415353968,-0.22455145168609292,-2.189864297181399,2.192521818664801,0.22455145168609292,0.047571263607535386,2.6886254825931566,0.4599136645601021,-4.011437947774946,0.7730800020065789,1.0,1.0,1.0,6.713366952366448,5.409586034511825,7.486387959762524,0.14285714285714285,0.0,0.5,0.7515393704761509,0.5583690095182675,0.8784234023177869,0.5489421837981628,0.3713205037615861,0.7462210953627887,0.0,0.0,0.0,2.1842903345309868,1.760086492044478,2.435803819020236
Jsc,mA cm^-2,Red,Publication-balanced,91,24,0.9285714285714286,True,True,25.956238095238096,24.06709342857143,27.62324242857143,21.95150713578477,20.649711597774466,23.232132597562547,5.1264124692291855,4.088589731721072,6.16449031762066,6.080370662474037,4.7698094405736144,7.339249197830471,-4.004730959453327,-5.380074784684114,-2.541569905165452,4.004730959453327,2.541569905165452,5.380074784684114,-0.4687301187102506,-3.302528846597109,0.028809042881782595,0.9791666666666666,0.9375,1.0,10.24881869937167,9.438752286663092,11.091240805612333,0.6370535714285714,0.4717262422360249,0.7806032738095237,0.8771186054190853,0.8398846241302833,0.9127987707302881,0.6462131721323968,0.6086546984401981,0.6797396006518697,0.375,0.18181818181818182,0.56,3.334600325624509,3.071033586585492,3.6086944541464265
Jsc,mA cm^-2,Red,Device-level,91,24,0.9285714285714286,True,True,25.208395604395605,22.647233422459898,27.27877689922481,22.20512716128032,21.13866678325332,23.25141833172835,5.203432787233669,3.932073131757303,6.67486771699754,6.468616379843846,4.566063242352417,8.67423162512379,-3.0032684431152887,-5.050432704384596,-0.8398715773039127,3.0032684431152887,0.8398715773039123,5.050432704384596,-0.10502753689042477,-3.3678692182533956,0.15132081470471076,0.9560439560439561,0.8694927536231883,1.0,10.082768012158793,9.519162569730407,10.731025604615407,0.6263736263736264,0.4652918186555498,0.7654629629629629,0.8676865343393463,0.8287844442941782,0.9033562919360263,0.6516101214550859,0.6071351582662319,0.6948486363251237,0.37362637362637363,0.1529219948849105,0.607924836601307,3.2805733502342442,3.097196226784821,3.491493266207285
Jsc,mA cm^-2,All,Publication-balanced,98,25,1.0,True,True,25.99500634920635,24.28009988888889,27.61390920634921,22.17711326859103,20.907417939788782,23.51701393723515,4.962298045034232,3.940301668933616,5.9895742954846645,5.95001163766712,4.662761466116958,7.241560465192024,-3.8178930806153217,-5.131569587599042,-2.380398773547439,3.8178930806153217,2.380398773547439,5.131569587599042,-0.44112101718404206,-3.059793114681856,0.040124865774902325,0.98,0.94,1.0,10.02528717295261,9.18692686897606,10.849819752680508,0.6017936507936509,0.4385472222222222,0.7400031746031746,0.8712189016815144,0.8347827230281115,0.9052993483612046,0.6440537382638051,0.6049800663646313,0.678145831774665,0.35,0.16,0.52,3.261871133836773,2.989098571004506,3.5301446480338026
Jsc,mA cm^-2,All,Device-level,98,25,1.0,True,True,25.23034693877551,22.76444739010989,27.2549894145476,22.425558280762306,21.32358446226292,23.541987182695177,4.989899573985092,3.784228709858371,6.4646474861993335,6.27231675748643,4.415978215405486,8.376312087755878,-2.8047886580132033,-4.742574383904085,-0.7692915172340907,2.8047886580132033,0.7692915172340902,4.742574383904085,-0.09069141315632634,-2.699707066849983,0.16456607757563793,0.9591836734693877,0.8762886597938144,1.0,9.84209650788791,9.211159877516229,10.547926174750739,0.5918367346938775,0.4390181682429069,0.7129066478076378,0.859390308349118,0.8156014298116341,0.8994905737243982,0.6442766973367343,0.5958221623368423,0.694435981608452,0.3469387755102041,0.13949478748997593,0.5714285714285714,3.2022674205411548,2.9969831282924457,3.4319192375940335
FF,percentage point,Amber,Publication-balanced,53,13,0.5408163265306123,True,False,71.65303418803417,69.15502617845117,74.26015416666667,68.91124307255411,67.97908360735975,69.96038054023514,5.5794265047034655,4.316247893698639,7.288540866182841,6.6277964675014465,5.048329925610642,8.38207495388032,-2.7417911154800487,-5.310005028578829,-0.1244588712582232,2.7417911154800487,0.34437053477133867,5.3100050285788285,-0.2202595866838153,-1.2086120832223648,0.09083403466813954,1.0,1.0,1.0,14.432784950011866,12.816193823680157,16.142497693377244,0.14786324786324784,0.02222222222222222,0.34003703703703697,0.8177325559708449,0.7735933327506155,0.8610447002969551,0.6231926908316199,0.5607414915113195,0.6849734773831461,0.0,0.0,0.0,1.3320942284772095,1.182888672054631,1.4898945757891873
FF,percentage point,Amber,Device-level,53,13,0.5408163265306123,True,False,70.7490566037736,67.61896739130435,73.52345025510205,68.3556791718379,67.50132601017826,69.5045914954299,6.01050714254231,4.264121749124904,8.27238814336364,7.304025236526911,5.328388565250788,9.303223011000062,-2.3933774319356727,-5.003599262235626,0.5882191253057676,2.3933774319356727,0.21543219713638567,5.003599262235626,-0.11702143465322523,-1.2090897157219114,0.14574696427474,1.0,1.0,1.0,15.559731248913264,12.789758866658241,17.64397347666885,0.18867924528301888,0.041645408163265306,0.3500735294117646,0.8233179910706933,0.7627849526284283,0.8770901332049679,0.6359131286530676,0.5479023442370837,0.7178787317336407,0.0,0.0,0.0,1.4361073254484262,1.1804488204389583,1.6284753993827237
FF,percentage point,Red,Publication-balanced,45,15,0.45918367346938777,True,False,71.41746031746031,67.68151388888889,75.04152579365079,64.41305490296283,62.45636602401459,66.59657639641571,8.471205851632131,6.362961266363721,10.837903826230997,9.95550186065348,7.6073040638063985,12.129892178762184,-7.004405414497478,-9.972349294603502,-3.992231565155072,7.004405414497478,3.9922315651550706,9.972349294603502,-0.6288223531866166,-3.4433585291556312,0.0815975407959316,0.9866666666666667,0.9571428571428572,1.0,22.39288281274122,18.68816584329237,25.853403348647532,0.40388888888888885,0.19486111111111115,0.629,0.9287643339752735,0.8952780569967295,0.9534837714108043,0.6482090786076818,0.6030221474197281,0.6841248311952072,0.6,0.33333333333333337,0.846153846153846,2.0667826796514803,1.7248506055412556,2.3861762997583105
