variant,selected_policy,target,OOD_critical_threshold,uncertainty_critical_multiplier,critical_cell_historical_DOI_less_than,Red_records,Red_DOI,Red_publication_balanced_fraction,Amber_MAE,Amber_large_error_fraction,Red_MAE,Red_large_error_fraction,MAE_ratio_Red_over_Amber
Permissive,False,PCE,0.99,3.0,2,34,9,0.35,3.0604866845575853,0.24575163398692812,5.226513502003183,0.6689153439153439,1.7077393371370644
Permissive,False,Voc,0.99,3.0,2,57,17,0.618,0.05835123090864944,0.10606060606060605,0.12155072735813158,0.45098039215686264,2.0830876309777047
Permissive,False,Jsc,0.99,3.0,2,71,19,0.6788888888888889,3.1230021080260983,0.30357142857142855,5.543565225100605,0.7033834586466168,1.7750757230850638
Permissive,False,FF,0.99,3.0,2,35,10,0.35444444444444445,6.095839794193779,0.19150326797385617,8.993916098962258,0.47250000000000003,1.4754187122058005
Primary (locked),True,PCE,0.95,2.5,5,46,16,0.5311111111111111,3.2871681792061267,0.29679487179487174,3.9659851237444816,0.39709821428571423,1.206505085085818
Primary (locked),True,Voc,0.95,2.5,5,72,21,0.7422222222222223,0.06102430969899609,0.14583333333333334,0.1066403400132206,0.3412698412698412,1.74750587985717
Primary (locked),True,Jsc,0.95,2.5,5,91,24,0.9175555555555556,2.5497545428499744,0.2,5.1264124692291855,0.6370535714285714,2.0105513621319666
Primary (locked),True,FF,0.95,2.5,5,45,15,0.5244444444444444,5.5794265047034655,0.14786324786324784,8.471205851632131,0.40388888888888885,1.5182932949275147
Conservative,False,PCE,0.9,2.0,10,91,25,0.972,3.3465898109141277,0.28571428571428575,3.9581583947521897,0.42125396825396827,1.1827438133719206
Conservative,False,Voc,0.9,2.0,10,98,25,1.0,,,0.10253927390310506,0.33333333333333337,
Conservative,False,Jsc,0.9,2.0,10,98,25,1.0,,,4.962298045034232,0.6017936507936509,
Conservative,False,FF,0.9,2.0,10,91,25,0.972,9.457861268589639,0.28571428571428575,7.4410496829307355,0.33922222222222215,0.7867581762531339
