target,trigger,records,DOI_groups_with_trigger,device_fraction,publication_balanced_fraction
PCE,Limited mixed-domain support (<100 historical DOI),98,25,1.0,1.0
PCE,Sparse A x B cell (<10 historical DOI),88,24,0.8979591836734694,0.932
PCE,Critical A x B cell (<5 historical DOI),35,9,0.35714285714285715,0.35
PCE,Exact formula unseen historically,34,9,0.3469387755102041,0.35
PCE,Feature OOD >=P90,35,16,0.35714285714285715,0.44199999999999995
PCE,Feature OOD >=P95,18,9,0.1836734693877551,0.27844444444444444
PCE,Model-support OOD >=P90,0,0,0.0,0.0
PCE,Model-support OOD >=P95,0,0,0.0,0.0
PCE,Uncertainty multiplier >=1.5x,85,24,0.8673469387755102,0.920888888888889
PCE,Uncertainty multiplier >=2.5x,23,9,0.23469387755102042,0.2911111111111111
PCE,Final Amber tier,52,13,0.5306122448979592,0.46888888888888886
PCE,Final Red tier,46,16,0.46938775510204084,0.5311111111111111
Voc,Limited mixed-domain support (<100 historical DOI),98,25,1.0,1.0
Voc,Sparse A x B cell (<10 historical DOI),88,24,0.8979591836734694,0.932
Voc,Critical A x B cell (<5 historical DOI),35,9,0.35714285714285715,0.35
Voc,Exact formula unseen historically,34,9,0.3469387755102041,0.35
Voc,Feature OOD >=P90,35,16,0.35714285714285715,0.44199999999999995
Voc,Feature OOD >=P95,18,9,0.1836734693877551,0.27844444444444444
Voc,Model-support OOD >=P90,0,0,0.0,0.0
Voc,Model-support OOD >=P95,0,0,0.0,0.0
Voc,Uncertainty multiplier >=1.5x,92,24,0.9387755102040817,0.9211111111111111
Voc,Uncertainty multiplier >=2.5x,63,18,0.6428571428571429,0.6622222222222223
Voc,Final Amber tier,26,8,0.2653061224489796,0.2577777777777778
Voc,Final Red tier,72,21,0.7346938775510204,0.7422222222222223
Jsc,Limited mixed-domain support (<100 historical DOI),98,25,1.0,1.0
Jsc,Sparse A x B cell (<10 historical DOI),88,24,0.8979591836734694,0.932
Jsc,Critical A x B cell (<5 historical DOI),35,9,0.35714285714285715,0.35
Jsc,Exact formula unseen historically,34,9,0.3469387755102041,0.35
Jsc,Feature OOD >=P90,35,16,0.35714285714285715,0.44199999999999995
Jsc,Feature OOD >=P95,18,9,0.1836734693877551,0.27844444444444444
Jsc,Model-support OOD >=P90,0,0,0.0,0.0
Jsc,Model-support OOD >=P95,0,0,0.0,0.0
Jsc,Uncertainty multiplier >=1.5x,98,25,1.0,1.0
Jsc,Uncertainty multiplier >=2.5x,89,24,0.9081632653061225,0.8975555555555556
Jsc,Final Amber tier,7,5,0.07142857142857142,0.08244444444444446
Jsc,Final Red tier,91,24,0.9285714285714286,0.9175555555555556
FF,Limited mixed-domain support (<100 historical DOI),98,25,1.0,1.0
FF,Sparse A x B cell (<10 historical DOI),88,24,0.8979591836734694,0.932
FF,Critical A x B cell (<5 historical DOI),35,9,0.35714285714285715,0.35
FF,Exact formula unseen historically,34,9,0.3469387755102041,0.35
FF,Feature OOD >=P90,35,16,0.35714285714285715,0.44199999999999995
FF,Feature OOD >=P95,18,9,0.1836734693877551,0.27844444444444444
FF,Model-support OOD >=P90,0,0,0.0,0.0
FF,Model-support OOD >=P95,0,0,0.0,0.0
FF,Uncertainty multiplier >=1.5x,64,16,0.6530612244897959,0.6088888888888888
FF,Uncertainty multiplier >=2.5x,12,5,0.12244897959183673,0.16444444444444442
FF,Final Amber tier,53,13,0.5408163265306123,0.47555555555555556
FF,Final Red tier,45,15,0.45918367346938777,0.5244444444444444
