domain,method,bin,records,DOI_groups,mean_predicted_PCE,mean_measured_PCE
Sn-only,Frozen global,1,36,9,1.8566914428005121,1.8335916719999996
Sn-only,Frozen global,2,31,14,3.1314047591119043,4.095595238095237
Sn-only,Frozen global,3,37,12,4.223702016282785,5.641791666666666
Sn-only,Frozen global,4,51,9,5.180122126105634,6.027723905723906
Sn-only,Development-selected policy,1,36,9,1.8566914428005121,1.8335916719999996
Sn-only,Development-selected policy,2,31,14,3.1314047591119043,4.095595238095237
Sn-only,Development-selected policy,3,37,12,4.223702016282785,5.641791666666666
Sn-only,Development-selected policy,4,51,9,5.180122126105634,6.027723905723906
Mixed Pb-Sn,Frozen global,1,22,8,9.58471647822782,12.089333333333332
Mixed Pb-Sn,Frozen global,2,27,9,11.524693933086166,13.950330687830688
Mixed Pb-Sn,Frozen global,3,28,8,12.371103229026607,15.516473214285716
Mixed Pb-Sn,Frozen global,4,21,7,13.508183634192799,14.641964285714282
Mixed Pb-Sn,Development-selected policy,1,22,8,9.58471647822782,12.089333333333332
Mixed Pb-Sn,Development-selected policy,2,27,9,11.524693933086166,13.950330687830688
Mixed Pb-Sn,Development-selected policy,3,28,8,12.371103229026607,15.516473214285716
Mixed Pb-Sn,Development-selected policy,4,21,7,13.508183634192799,14.641964285714282
