domain,target,method,evaluation,records,DOI_groups,R2,R2_CI_low,R2_CI_high,MAE,MAE_CI_low,MAE_CI_high,RMSE,RMSE_CI_low,RMSE_CI_high,bias,bias_CI_low,bias_CI_high
Sn-only,PCE,Frozen global,Device-level,155,30,0.29380586111378826,-0.048211282935457865,0.46632958966644844,1.810519661954377,1.5776242640433917,2.0392178411517587,2.179500173327128,1.8980488092763077,2.466996669837331,-0.7813377327699467,-1.3947400604982816,-0.1130388537837306
Sn-only,PCE,Frozen global,Publication-balanced,155,30,0.22970880497023916,-0.12254849431829662,0.45115050845151927,1.9847562468093884,1.6212321142482535,2.3908240194976607,2.4569620783799393,2.0073938847489705,2.9131475169512635,-0.9973464311493707,-1.6837091254126533,-0.340459671478728
Sn-only,Voc,Frozen global,Device-level,155,30,-0.1853182172228578,-0.881054170830454,0.08835146981079119,0.11433986924824842,0.09616750124835236,0.13827348845777707,0.14359385288523885,0.11642602217621228,0.17461521354716988,-0.05319440356750077,-0.09346721920702974,-0.011707477851438717
Sn-only,Voc,Frozen global,Publication-balanced,155,30,-0.21371866421117325,-1.107385914320785,0.18291285866886126,0.12467328623982485,0.10134425048102581,0.15104598435058103,0.15483094493561628,0.12297670795908353,0.1848712189750218,-0.06346771604714824,-0.10462241011451213,-0.02065586931780161
Sn-only,Jsc,Frozen global,Device-level,155,30,0.22671599727496083,-0.16513540922965356,0.3951397670395183,3.7731705544156946,2.966973131296752,4.71451944016368,4.938634951852707,3.91403109946788,5.985837869525497,-1.4351447997656792,-2.540077679959892,-0.12661889480753344
Sn-only,Jsc,Frozen global,Publication-balanced,155,30,0.15872650630969531,-0.2708927238882239,0.36505082952544987,4.5298970086655155,3.365627917489473,5.772095746078271,6.041258769399115,4.689549503638516,7.287235258768285,-1.2573305982239131,-3.038680527770145,0.7369614148871293
Sn-only,FF,Frozen global,Device-level,155,30,0.47560174756627993,0.07465799753652973,0.6206110965539728,7.489244589336346,6.39097170095881,8.986955614673095,9.338947350670495,7.778853933728074,11.23114522282544,-1.0600021693062738,-3.408292600101321,1.3558392771068417
Sn-only,FF,Frozen global,Publication-balanced,155,30,0.42313978743861147,0.09506906076026009,0.5693662929680363,8.45794029503997,6.96380913401828,10.323087347946577,10.618092991566943,8.574893283047349,12.861289402242937,-1.783684750281715,-4.9022773968070075,1.0348844971072566
Sn-only,PCE,Subgroup calibrator,Device-level,155,30,0.29380586111378826,-0.029757372144139656,0.4524933439178233,1.810519661954377,1.575461762653482,2.039532228875981,2.179500173327128,1.9116821069399914,2.4618776319259625,-0.7813377327699467,-1.4338580467171491,-0.09013956222253665
Sn-only,PCE,Subgroup calibrator,Publication-balanced,155,30,0.22970880497023916,-0.14680034087004445,0.44726517286502215,1.9847562468093884,1.6390361944141478,2.4113931926089656,2.4569620783799393,1.9919456262350261,2.9513391207095787,-0.9973464311493707,-1.6774563310838264,-0.3420199695589373
Sn-only,Voc,Subgroup calibrator,Device-level,155,30,-0.1853182172228578,-0.8733829476268697,0.08691217892253497,0.11433986924824842,0.09660814623487861,0.13935173365873435,0.14359385288523885,0.11675794812224659,0.1767087887157993,-0.05319440356750077,-0.0915383401306096,-0.014283451275197697
Sn-only,Voc,Subgroup calibrator,Publication-balanced,155,30,-0.21371866421117325,-1.1811872670465287,0.1733130853838041,0.12467328623982485,0.10191243451603946,0.15067279656623284,0.15483094493561628,0.12380537876978404,0.18515379605486781,-0.06346771604714824,-0.11186575859012308,-0.01682412442665646
Sn-only,Jsc,Subgroup calibrator,Device-level,155,30,0.22671599727496083,-0.19066862430058878,0.39885963740845315,3.7731705544156946,2.974088451110757,4.773769764153644,4.938634951852707,3.953656177775751,6.134846820877356,-1.4351447997656792,-2.5759076910622154,-0.19430076958986772
Sn-only,Jsc,Subgroup calibrator,Publication-balanced,155,30,0.15872650630969531,-0.24821234144820348,0.36609054542325087,4.5298970086655155,3.314792419593314,5.874501941420115,6.041258769399115,4.549601556099039,7.383703716652912,-1.2573305982239131,-3.0508242552576257,0.6391230731229822
Sn-only,FF,Subgroup calibrator,Device-level,155,30,0.47560174756627993,0.09619206175053763,0.6246619580733039,7.489244589336346,6.35505886023602,8.880295424528486,9.338947350670495,7.683503095810721,11.197155995290299,-1.0600021693062738,-3.4515892422953995,1.5145200316004992
Sn-only,FF,Subgroup calibrator,Publication-balanced,155,30,0.42313978743861147,0.07720935514156727,0.5747599915793041,8.45794029503997,6.757376775251175,10.244017243732166,10.618092991566943,8.401831660232242,12.715226971744537,-1.783684750281715,-4.792436417147653,1.1235888865002153
Sn-only,PCE,Domain expert,Device-level,155,30,0.15354458833735218,-0.19664632550325922,0.30994337937595734,2.005853625382865,1.7640400097109332,2.2618592398470305,2.386145359034256,2.118677901691749,2.6909032674691375,-0.786780130193351,-1.5345160222573664,-0.018486916631532593
Sn-only,PCE,Domain expert,Publication-balanced,155,30,0.0610384143261441,-0.4244271579866596,0.2866237410557252,2.270851454897661,1.900248306181345,2.6568381275942117,2.712657099939164,2.2653228213805745,3.1531122380284815,-0.9867533780750364,-1.814999613278114,-0.25277660681344327
Sn-only,Voc,Domain expert,Device-level,155,30,-0.14539462179896123,-0.7212965777880697,0.048751715245384394,0.11653178012628422,0.10216187060196297,0.13705326817441513,0.14115489352913602,0.12097527050981606,0.16542783185621898,-0.05251032486828116,-0.09047582532592444,-0.010352241656390055
Sn-only,Voc,Domain expert,Publication-balanced,155,30,-0.16899466070876623,-0.91085625251686,0.11096065323334325,0.12844120199966685,0.10991536898867427,0.1494709200966203,0.15195150743673524,0.13077334771612623,0.17322883517896737,-0.06300409033338758,-0.10520221315294839,-0.022354212581681576
Sn-only,Jsc,Domain expert,Device-level,155,30,0.1676408851870208,-0.31898183051987844,0.34395091826101254,4.229224803644926,3.58464396610035,5.001032336099996,5.123807235129949,4.343008091683509,5.948527048832739,-1.5079731305247195,-2.796330735182036,-0.09991230512915265
Sn-only,Jsc,Domain expert,Publication-balanced,155,30,0.0852863704501351,-0.29095958157394497,0.2698318540435532,5.118956423065737,4.0027332262092985,6.395803087695751,6.299432270089109,4.993267061900379,7.612335138168235,-1.3852318747626702,-3.3010156715690377,0.5793024407303337
Sn-only,FF,Domain expert,Device-level,155,30,0.3743232925898303,0.0027429853254595815,0.49027490139609914,8.298820194133443,7.127997158140784,9.654366090767752,10.200989554959781,8.625939928517916,11.988632632651502,-1.0436947718534986,-4.295138573775896,2.433015519975037
Sn-only,FF,Domain expert,Publication-balanced,155,30,0.3207835140572123,0.04660869672975291,0.4327264406599003,9.376724688360492,7.6965271949384135,11.269545025124037,11.521667580811377,9.426931753804547,13.856804696663453,-1.560575650642409,-4.78564521232628,2.0889449237436013
Sn-only,PCE,Convex mixture,Device-level,155,30,0.29380586111378826,-0.02688773865331118,0.46109286270163163,1.810519661954377,1.5933538674664534,2.042336187870356,2.179500173327128,1.924062595882858,2.49331098000812,-0.7813377327699467,-1.386137306923638,-0.16179029074056725
Sn-only,PCE,Convex mixture,Publication-balanced,155,30,0.22970880497023916,-0.16384721068578406,0.4532132977568404,1.9847562468093884,1.597920499706684,2.3908900906970647,2.4569620783799393,1.9701312496802532,2.9089821529690476,-0.9973464311493707,-1.6603192665639805,-0.2918089546445184
Sn-only,Voc,Convex mixture,Device-level,155,30,-0.1853182172228578,-0.8249732146769081,0.1145990159070985,0.11433986924824842,0.09592794498796375,0.1385622660821639,0.14359385288523885,0.11649189962828214,0.17410629946829081,-0.05319440356750077,-0.0914054447897476,-0.013627143765455684
Sn-only,Voc,Convex mixture,Publication-balanced,155,30,-0.21371866421117325,-1.1098104456097702,0.1763019270012908,0.12467328623982485,0.10078585654638471,0.15007317963076644,0.15483094493561628,0.12390873080910833,0.18467808155167345,-0.06346771604714824,-0.10220078878773135,-0.021357041312651558
Sn-only,Jsc,Convex mixture,Device-level,155,30,0.22671599727496083,-0.18821689918470347,0.4022562395577667,3.7731705544156946,2.9574740154205417,4.793042754121413,4.938634951852707,3.9204846074267685,6.032021399878417,-1.4351447997656792,-2.578060766407439,-0.19212566654340013
Sn-only,Jsc,Convex mixture,Publication-balanced,155,30,0.15872650630969531,-0.22532451359141584,0.3714684063646304,4.5298970086655155,3.293715926240834,5.701291828570513,6.041258769399115,4.617291353622746,7.23687509274263,-1.2573305982239131,-2.930618339286588,0.631360712977613
Sn-only,FF,Convex mixture,Device-level,155,30,0.47560174756627993,0.120787911128886,0.6300255515276345,7.489244589336346,6.31354359830837,9.013595233643638,9.338947350670495,7.712472879377712,11.36812726208993,-1.0600021693062738,-3.5497934103473603,1.5129718018013363
Sn-only,FF,Convex mixture,Publication-balanced,155,30,0.42313978743861147,0.11966407534635506,0.56661807848109,8.45794029503997,6.81767698552466,10.170392870396455,10.618092991566943,8.417820243094035,12.753590549131523,-1.783684750281715,-5.058422417551605,1.3995361337542984
Sn-only,PCE,Development-selected policy,Device-level,155,30,0.29380586111378826,-0.02284196351307364,0.45982574026258033,1.810519661954377,1.5848908235328973,2.0582336778001453,2.179500173327128,1.9074746477711855,2.5065561804351915,-0.7813377327699467,-1.3898707062355897,-0.12563724698485598
Sn-only,PCE,Development-selected policy,Publication-balanced,155,30,0.22970880497023916,-0.12049021422887392,0.4557516499814581,1.9847562468093884,1.6059615936801783,2.394953746862827,2.4569620783799393,1.9636772142021133,2.9523774580392943,-0.9973464311493707,-1.6801553013403487,-0.3721182508895555
