domain,target,method,reference,evaluation,records,DOI_groups,delta_R2,delta_R2_CI_low,delta_R2_CI_high,delta_MAE,delta_MAE_CI_low,delta_MAE_CI_high,MAE_change_percent,MAE_change_percent_CI_low,MAE_change_percent_CI_high,delta_RMSE,delta_RMSE_CI_low,delta_RMSE_CI_high,delta_absolute_bias,delta_absolute_bias_CI_low,delta_absolute_bias_CI_high
Sn-only,PCE,Subgroup calibrator,Frozen global,Device-level,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,PCE,Subgroup calibrator,Frozen global,Publication-balanced,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,PCE,Domain expert,Frozen global,Device-level,155,30,-0.14026127277643607,-0.23474961830818328,-0.07298764919430474,0.19533396342848808,0.08169045971381822,0.29230410651900496,10.788834141554338,4.512954341230153,16.540987986282474,0.20664518570712787,0.10140693021249662,0.3024901274343726,0.005442397423404355,-0.25513391062552776,0.23152414988986078
Sn-only,PCE,Domain expert,Frozen global,Publication-balanced,155,30,-0.16867039064409506,-0.24854937715776143,-0.09270084583453587,0.2860952080882724,0.15867450496547944,0.41823266161171746,14.414626911903516,7.9570192124494685,22.067975224317394,0.25569502155922486,0.13420541630415156,0.37412252140430124,-0.010593053074334335,-0.20888431693545198,0.1955520270061729
Sn-only,PCE,Convex mixture,Frozen global,Device-level,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,PCE,Convex mixture,Frozen global,Publication-balanced,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,PCE,Development-selected policy,Frozen global,Device-level,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,PCE,Development-selected policy,Frozen global,Publication-balanced,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,Voc,Subgroup calibrator,Frozen global,Device-level,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn-only,Voc,Subgroup calibrator,Frozen global,Publication-balanced,155,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
