domain,target,candidate,mean_DOI_MAE,SE_DOI_MAE,n_DOI,minimum_mean_plus_one_SE,within_one_SE,selected,alpha
Sn-only,PCE,alpha=0.00,1.9243965635903937,0.17295583879842003,83,2.0963955890591963,True,True,0.0
Sn-only,PCE,alpha=0.05,1.9234189118059903,0.1731883253785104,83,2.0963955890591963,True,False,0.05
Sn-only,PCE,alpha=0.10,1.9227582942891577,0.173467229417914,83,2.0963955890591963,True,False,0.1
Sn-only,PCE,alpha=0.15,1.9223161320962283,0.17378856419242641,83,2.0963955890591963,True,False,0.15
Sn-only,PCE,alpha=0.20,1.9222714067714182,0.17412418228777826,83,2.0963955890591963,True,False,0.2
Sn-only,PCE,alpha=0.25,1.9224083450560014,0.17449693158362073,83,2.0963955890591963,True,False,0.25
Sn-only,PCE,alpha=0.30,1.9226770406240918,0.17490843916381865,83,2.0963955890591963,True,False,0.3
Sn-only,PCE,alpha=0.35,1.9229894588384024,0.17536753472329814,83,2.0963955890591963,True,False,0.35
Sn-only,PCE,alpha=0.40,1.923427489410969,0.17587907446040627,83,2.0963955890591963,True,False,0.4
Sn-only,PCE,alpha=0.45,1.9242408806814106,0.1764416258103428,83,2.0963955890591963,True,False,0.45
Sn-only,PCE,alpha=0.50,1.9252787746848363,0.17704029906484708,83,2.0963955890591963,True,False,0.5
Sn-only,PCE,alpha=0.55,1.9263229598715113,0.17768161340594232,83,2.0963955890591963,True,False,0.55
Sn-only,PCE,alpha=0.60,1.9274067630650102,0.17836383948541815,83,2.0963955890591963,True,False,0.6
Sn-only,PCE,alpha=0.65,1.9286473835859796,0.1790802279047346,83,2.0963955890591963,True,False,0.65
Sn-only,PCE,alpha=0.70,1.9303258450714775,0.17981999363016762,83,2.0963955890591963,True,False,0.7
Sn-only,PCE,alpha=0.75,1.9321072098566605,0.18059139275254396,83,2.0963955890591963,True,False,0.75
Sn-only,PCE,alpha=0.80,1.9342027367320138,0.1813728955555668,83,2.0963955890591963,True,False,0.8
Sn-only,PCE,alpha=0.85,1.937308789739986,0.18206847322691339,83,2.0963955890591963,True,False,0.85
Sn-only,PCE,alpha=0.90,1.9404264471725676,0.1828036348740402,83,2.0963955890591963,True,False,0.9
Sn-only,PCE,alpha=0.95,1.9436866724534392,0.18357739632893144,83,2.0963955890591963,True,False,0.95
Sn-only,PCE,alpha=1.00,1.9471072001310303,0.1843864912655235,83,2.0963955890591963,True,False,1.0
Sn-only,Voc,alpha=0.00,0.13299713706186325,0.010282623140595287,83,0.14327976020245853,True,True,0.0
Sn-only,Voc,alpha=0.05,0.13324386621095646,0.010306783855649584,83,0.14327976020245853,True,False,0.05
Sn-only,Voc,alpha=0.10,0.13351595282683665,0.010332278789243065,83,0.14327976020245853,True,False,0.1
Sn-only,Voc,alpha=0.15,0.13380068008487425,0.01035957347604348,83,0.14327976020245853,True,False,0.15
Sn-only,Voc,alpha=0.20,0.13408858558526,0.01039005035578477,83,0.14327976020245853,True,False,0.2
Sn-only,Voc,alpha=0.25,0.13437731187278895,0.01042399031558022,83,0.14327976020245853,True,False,0.25
Sn-only,Voc,alpha=0.30,0.1346687918816386,0.010461331057289714,83,0.14327976020245853,True,False,0.3
Sn-only,Voc,alpha=0.35,0.13496949493439506,0.010501219318214829,83,0.14327976020245853,True,False,0.35
Sn-only,Voc,alpha=0.40,0.13531046305988884,0.010538608074261407,83,0.14327976020245853,True,False,0.4
Sn-only,Voc,alpha=0.45,0.13570704822414015,0.010571791932115335,83,0.14327976020245853,True,False,0.45
Sn-only,Voc,alpha=0.50,0.13612208997755823,0.010607112100163857,83,0.14327976020245853,True,False,0.5
Sn-only,Voc,alpha=0.55,0.13654550821042408,0.010645325742940219,83,0.14327976020245853,True,False,0.55
Sn-only,Voc,alpha=0.60,0.1369709206719165,0.01068663638166264,83,0.14327976020245853,True,False,0.6
Sn-only,Voc,alpha=0.65,0.13739958509253852,0.010730793263362265,83,0.14327976020245853,True,False,0.65
Sn-only,Voc,alpha=0.70,0.13782950433641583,0.010778024251505274,83,0.14327976020245853,True,False,0.7
Sn-only,Voc,alpha=0.75,0.13827838689301017,0.010826812473592722,83,0.14327976020245853,True,False,0.75
Sn-only,Voc,alpha=0.80,0.13873112408863908,0.010878454886441735,83,0.14327976020245853,True,False,0.8
Sn-only,Voc,alpha=0.85,0.13918403499326412,0.010933150867784208,83,0.14327976020245853,True,False,0.85
Sn-only,Voc,alpha=0.90,0.13964431576377745,0.010989945035375114,83,0.14327976020245853,True,False,0.9
Sn-only,Voc,alpha=0.95,0.14011325992461873,0.01104903316668722,83,0.14327976020245853,True,False,0.95
Sn-only,Voc,alpha=1.00,0.14058675141493046,0.011110591336014825,83,0.14327976020245853,True,False,1.0
Sn-only,Jsc,alpha=0.00,5.3727853058354125,0.33960494311580824,83,5.712390248951221,True,True,0.0
Sn-only,Jsc,alpha=0.05,5.374061858318664,0.3382606249223208,83,5.712390248951221,True,False,0.05
Sn-only,Jsc,alpha=0.10,5.37567603730364,0.3370555395656743,83,5.712390248951221,True,False,0.1
Sn-only,Jsc,alpha=0.15,5.3775184212262,0.3359995409819145,83,5.712390248951221,True,False,0.15
Sn-only,Jsc,alpha=0.20,5.379596417443851,0.3350894257447684,83,5.712390248951221,True,False,0.2
Sn-only,Jsc,alpha=0.25,5.381836396385305,0.33433276928110406,83,5.712390248951221,True,False,0.25
Sn-only,Jsc,alpha=0.30,5.384098026792856,0.33374554889490127,83,5.712390248951221,True,False,0.3
Sn-only,Jsc,alpha=0.35,5.38687939272739,0.3332792411322208,83,5.712390248951221,True,False,0.35
Sn-only,Jsc,alpha=0.40,5.389939249081636,0.3329576937671589,83,5.712390248951221,True,False,0.4
Sn-only,Jsc,alpha=0.45,5.3930833460195435,0.3328001984790776,83,5.712390248951221,True,False,0.45
Sn-only,Jsc,alpha=0.50,5.396721432212773,0.33276701084241594,83,5.712390248951221,True,False,0.5
Sn-only,Jsc,alpha=0.55,5.400844521543965,0.3328581320907293,83,5.712390248951221,True,False,0.55
Sn-only,Jsc,alpha=0.60,5.408972435678523,0.33237970571063746,83,5.712390248951221,True,False,0.6
Sn-only,Jsc,alpha=0.65,5.4188437173930195,0.3317593395399193,83,5.712390248951221,True,False,0.65
Sn-only,Jsc,alpha=0.70,5.429296856196337,0.33125939878120597,83,5.712390248951221,True,False,0.7
Sn-only,Jsc,alpha=0.75,5.440430363455297,0.3308900628799204,83,5.712390248951221,True,False,0.75
Sn-only,Jsc,alpha=0.80,5.451905957224469,0.3306607825789346,83,5.712390248951221,True,False,0.8
Sn-only,Jsc,alpha=0.85,5.464430327744047,0.33050590228694426,83,5.712390248951221,True,False,0.85
Sn-only,Jsc,alpha=0.90,5.4769831272525495,0.3305227033363356,83,5.712390248951221,True,False,0.9
Sn-only,Jsc,alpha=0.95,5.489535926761053,0.33070978284069263,83,5.712390248951221,True,False,0.95
Sn-only,Jsc,alpha=1.00,5.502108945933624,0.3310655506980701,83,5.712390248951221,True,False,1.0
Sn-only,FF,alpha=0.00,10.504691119450653,0.677427809456715,83,11.161510016314125,True,True,0.0
Sn-only,FF,alpha=0.05,10.49841446315035,0.6765634485716054,83,11.161510016314125,True,False,0.05
Sn-only,FF,alpha=0.10,10.492145022630268,0.6759602438628824,83,11.161510016314125,True,False,0.1
Sn-only,FF,alpha=0.15,10.489329771077792,0.6752924457921956,83,11.161510016314125,True,False,0.15
Sn-only,FF,alpha=0.20,10.48749524461602,0.6748111529262607,83,11.161510016314125,True,False,0.2
Sn-only,FF,alpha=0.25,10.486976492616007,0.6745335236981179,83,11.161510016314125,True,False,0.25
Sn-only,FF,alpha=0.30,10.489711926476845,0.6741906312971407,83,11.161510016314125,True,False,0.3
Sn-only,FF,alpha=0.35,10.49248013106942,0.6741247916311497,83,11.161510016314125,True,False,0.35
Sn-only,FF,alpha=0.40,10.495361151902385,0.674331155524549,83,11.161510016314125,True,False,0.4
Sn-only,FF,alpha=0.45,10.499663310587328,0.674678830498066,83,11.161510016314125,True,False,0.45
Sn-only,FF,alpha=0.50,10.50699730999422,0.675042608215623,83,11.161510016314125,True,False,0.5
Sn-only,FF,alpha=0.55,10.51517334418153,0.6756073607174128,83,11.161510016314125,True,False,0.55
Sn-only,FF,alpha=0.60,10.523745606997908,0.6764162485418439,83,11.161510016314125,True,False,0.6
Sn-only,FF,alpha=0.65,10.532509495378068,0.6774983176885307,83,11.161510016314125,True,False,0.65
Sn-only,FF,alpha=0.70,10.541330988541269,0.6788573595490889,83,11.161510016314125,True,False,0.7
Sn-only,FF,alpha=0.75,10.550469205198663,0.6804665911576339,83,11.161510016314125,True,False,0.75
Sn-only,FF,alpha=0.80,10.561783457985957,0.6822065868072511,83,11.161510016314125,True,False,0.8
Sn-only,FF,alpha=0.85,10.575265569555683,0.6840533818136098,83,11.161510016314125,True,False,0.85
Sn-only,FF,alpha=0.90,10.588747681125406,0.6861832535942509,83,11.161510016314125,True,False,0.9
Sn-only,FF,alpha=0.95,10.602229792695132,0.6885935754208481,83,11.161510016314125,True,False,0.95
Sn-only,FF,alpha=1.00,10.61696097166934,0.6911760475864258,83,11.161510016314125,True,False,1.0
Mixed Pb-Sn,PCE,alpha=0.00,2.775642005088757,0.23072670153856886,57,2.9794326322210516,True,True,0.0
Mixed Pb-Sn,PCE,alpha=0.05,2.771925374889319,0.22726563129287336,57,2.9794326322210516,True,False,0.05
Mixed Pb-Sn,PCE,alpha=0.10,2.768208744689881,0.22422310034336895,57,2.9794326322210516,True,False,0.1
Mixed Pb-Sn,PCE,alpha=0.15,2.7645952420712816,0.22160248258088078,57,2.9794326322210516,True,False,0.15
Mixed Pb-Sn,PCE,alpha=0.20,2.762456649338637,0.21937385594164113,57,2.9794326322210516,True,False,0.2
Mixed Pb-Sn,PCE,alpha=0.25,2.7617235590790856,0.21770907314196578,57,2.9794326322210516,True,False,0.25
Mixed Pb-Sn,PCE,alpha=0.30,2.7628088675485207,0.2162734695140369,57,2.9794326322210516,True,False,0.3
Mixed Pb-Sn,PCE,alpha=0.35,2.765029858589304,0.21516295039031844,57,2.9794326322210516,True,False,0.35
Mixed Pb-Sn,PCE,alpha=0.40,2.7687894538631137,0.2141899808229322,57,2.9794326322210516,True,False,0.4
Mixed Pb-Sn,PCE,alpha=0.45,2.7736747741417362,0.21344748931783702,57,2.9794326322210516,True,False,0.45
Mixed Pb-Sn,PCE,alpha=0.50,2.7803995263185466,0.21288516231426,57,2.9794326322210516,True,False,0.5
Mixed Pb-Sn,PCE,alpha=0.55,2.789541765126982,0.21237415562535097,57,2.9794326322210516,True,False,0.55
Mixed Pb-Sn,PCE,alpha=0.60,2.800189176044068,0.21219886390775974,57,2.9794326322210516,True,False,0.6
Mixed Pb-Sn,PCE,alpha=0.65,2.8114355467425853,0.21246985803663757,57,2.9794326322210516,True,False,0.65
Mixed Pb-Sn,PCE,alpha=0.70,2.823155090750184,0.21317294446142604,57,2.9794326322210516,True,False,0.7
Mixed Pb-Sn,PCE,alpha=0.75,2.8354127993654648,0.21430231232879537,57,2.9794326322210516,True,False,0.75
