domain,target,candidate,mean_DOI_MAE,SE_DOI_MAE,n_DOI,minimum_mean_plus_one_SE,within_one_SE,selected
Sn-only,PCE,Frozen global,1.9243965635903937,0.17295583879842003,83,2.0973524023888137,True,True
Sn-only,PCE,Subgroup calibrator,1.9243965635903937,0.17295583879842003,83,2.0973524023888137,True,False
Sn-only,PCE,Domain expert,1.9471072001310303,0.1843864912655235,83,2.0973524023888137,True,False
Sn-only,PCE,Convex mixture,1.9243965635903937,0.17295583879842003,83,2.0973524023888137,True,False
Sn-only,Voc,Frozen global,0.13299713706186325,0.010282623140595287,83,0.14327976020245853,True,True
Sn-only,Voc,Subgroup calibrator,0.13299713706186325,0.010282623140595287,83,0.14327976020245853,True,False
Sn-only,Voc,Domain expert,0.14058675141493046,0.011110591336014825,83,0.14327976020245853,True,False
Sn-only,Voc,Convex mixture,0.13299713706186325,0.010282623140595287,83,0.14327976020245853,True,False
Sn-only,Jsc,Frozen global,5.3727853058354125,0.33960494311580824,83,5.712390248951221,True,True
Sn-only,Jsc,Subgroup calibrator,5.3727853058354125,0.33960494311580824,83,5.712390248951221,True,False
Sn-only,Jsc,Domain expert,5.502108945933624,0.3310655506980701,83,5.712390248951221,True,False
Sn-only,Jsc,Convex mixture,5.3727853058354125,0.33960494311580824,83,5.712390248951221,True,False
Sn-only,FF,Frozen global,10.504691119450653,0.677427809456715,83,11.182118928907368,True,True
Sn-only,FF,Subgroup calibrator,10.504691119450653,0.677427809456715,83,11.182118928907368,True,False
Sn-only,FF,Domain expert,10.61696097166934,0.6911760475864258,83,11.182118928907368,True,False
Sn-only,FF,Convex mixture,10.504691119450653,0.677427809456715,83,11.182118928907368,True,False
Mixed Pb-Sn,PCE,Frozen global,2.775642005088757,0.23072670153856886,57,3.0063687066273257,True,True
Mixed Pb-Sn,PCE,Subgroup calibrator,2.775642005088757,0.23072670153856886,57,3.0063687066273257,True,False
Mixed Pb-Sn,PCE,Domain expert,2.9178293425911197,0.22354296392522296,57,3.0063687066273257,True,False
Mixed Pb-Sn,PCE,Convex mixture,2.775642005088757,0.23072670153856886,57,3.0063687066273257,True,False
Mixed Pb-Sn,Voc,Frozen global,0.12432451879673681,0.013777485596602874,57,0.1361568320270241,True,True
Mixed Pb-Sn,Voc,Subgroup calibrator,0.12432451879673681,0.013777485596602874,57,0.1361568320270241,True,False
Mixed Pb-Sn,Voc,Domain expert,0.12270813203998758,0.013448699987036525,57,0.1361568320270241,True,False
Mixed Pb-Sn,Voc,Convex mixture,0.12432451879673681,0.013777485596602874,57,0.1361568320270241,True,False
Mixed Pb-Sn,Jsc,Frozen global,3.961194867113727,0.3682987175723076,57,4.329493584686034,True,True
Mixed Pb-Sn,Jsc,Subgroup calibrator,3.961194867113727,0.3682987175723076,57,4.329493584686034,True,False
Mixed Pb-Sn,Jsc,Domain expert,4.2147745162291175,0.41290778196503813,57,4.329493584686034,True,False
Mixed Pb-Sn,Jsc,Convex mixture,3.961194867113727,0.3682987175723076,57,4.329493584686034,True,False
Mixed Pb-Sn,FF,Frozen global,7.305892613592672,0.8074659614208992,57,7.692641303418365,True,True
Mixed Pb-Sn,FF,Subgroup calibrator,7.305892613592672,0.8074659614208992,57,7.692641303418365,True,False
Mixed Pb-Sn,FF,Domain expert,6.953144251906768,0.7394970515115971,57,7.692641303418365,True,False
Mixed Pb-Sn,FF,Convex mixture,7.305892613592672,0.8074659614208992,57,7.692641303418365,True,False
