stratum,domain,target,method,records,DOI_groups,R2,MAE,RMSE,bias,inferential_status
All,Sn-only,PCE,Frozen global,155,30,0.22970880497023916,1.9847562468093884,2.4569620783799393,-0.9973464311493707,supported
All,Sn-only,Voc,Frozen global,155,30,-0.21371866421117325,0.12467328623982485,0.15483094493561628,-0.06346771604714824,supported
All,Sn-only,Jsc,Frozen global,155,30,0.15872650630969531,4.5298970086655155,6.041258769399115,-1.2573305982239131,supported
All,Sn-only,FF,Frozen global,155,30,0.42313978743861147,8.45794029503997,10.618092991566943,-1.783684750281715,supported
All,Sn-only,PCE,Subgroup calibrator,155,30,0.22970880497023916,1.9847562468093884,2.4569620783799393,-0.9973464311493707,supported
All,Sn-only,Voc,Subgroup calibrator,155,30,-0.21371866421117325,0.12467328623982485,0.15483094493561628,-0.06346771604714824,supported
All,Sn-only,Jsc,Subgroup calibrator,155,30,0.15872650630969531,4.5298970086655155,6.041258769399115,-1.2573305982239131,supported
All,Sn-only,FF,Subgroup calibrator,155,30,0.42313978743861147,8.45794029503997,10.618092991566943,-1.783684750281715,supported
All,Sn-only,PCE,Domain expert,155,30,0.0610384143261441,2.270851454897661,2.712657099939164,-0.9867533780750364,supported
All,Sn-only,Voc,Domain expert,155,30,-0.16899466070876623,0.12844120199966685,0.15195150743673524,-0.06300409033338758,supported
All,Sn-only,Jsc,Domain expert,155,30,0.0852863704501351,5.118956423065737,6.299432270089109,-1.3852318747626702,supported
All,Sn-only,FF,Domain expert,155,30,0.3207835140572123,9.376724688360492,11.521667580811377,-1.560575650642409,supported
All,Sn-only,PCE,Convex mixture,155,30,0.22970880497023916,1.9847562468093884,2.4569620783799393,-0.9973464311493707,supported
All,Sn-only,Voc,Convex mixture,155,30,-0.21371866421117325,0.12467328623982485,0.15483094493561628,-0.06346771604714824,supported
All,Sn-only,Jsc,Convex mixture,155,30,0.15872650630969531,4.5298970086655155,6.041258769399115,-1.2573305982239131,supported
All,Sn-only,FF,Convex mixture,155,30,0.42313978743861147,8.45794029503997,10.618092991566943,-1.783684750281715,supported
All,Sn-only,PCE,Development-selected policy,155,30,0.22970880497023916,1.9847562468093884,2.4569620783799393,-0.9973464311493707,supported
All,Sn-only,Voc,Development-selected policy,155,30,-0.21371866421117325,0.12467328623982485,0.15483094493561628,-0.06346771604714824,supported
All,Sn-only,Jsc,Development-selected policy,155,30,0.15872650630969531,4.5298970086655155,6.041258769399115,-1.2573305982239131,supported
All,Sn-only,FF,Development-selected policy,155,30,0.42313978743861147,8.45794029503997,10.618092991566943,-1.783684750281715,supported
All,Mixed Pb-Sn,PCE,Frozen global,98,25,-0.07542819340883433,3.838381877222493,4.633906634248185,-2.321479025078958,supported
All,Mixed Pb-Sn,Voc,Frozen global,98,25,0.00446583128171929,0.10253927390310506,0.14596124073301223,0.030099723356338197,supported
All,Mixed Pb-Sn,Jsc,Frozen global,98,25,-0.44112101718404206,4.962298045034232,5.95001163766712,-3.817893080615322,supported
All,Mixed Pb-Sn,FF,Frozen global,98,25,-0.48880954568986335,7.345665018311634,8.863379746181293,-5.072892577502789,supported
All,Mixed Pb-Sn,PCE,Subgroup calibrator,98,25,-0.07542819340883433,3.838381877222493,4.633906634248185,-2.321479025078958,supported
All,Mixed Pb-Sn,Voc,Subgroup calibrator,98,25,0.00446583128171929,0.10253927390310506,0.14596124073301223,0.030099723356338197,supported
All,Mixed Pb-Sn,Jsc,Subgroup calibrator,98,25,-0.44112101718404206,4.962298045034232,5.95001163766712,-3.817893080615322,supported
All,Mixed Pb-Sn,FF,Subgroup calibrator,98,25,-0.48880954568986335,7.345665018311634,8.863379746181293,-5.072892577502789,supported
All,Mixed Pb-Sn,PCE,Domain expert,98,25,-0.5369461793306245,4.537330434753139,5.539695584398501,-3.186595899165788,supported
All,Mixed Pb-Sn,Voc,Domain expert,98,25,-0.14035467482156117,0.10668768686484292,0.15621741058735314,-0.027328562131363903,supported
All,Mixed Pb-Sn,Jsc,Domain expert,98,25,-0.2840336419302043,4.685109607851241,5.616371028825364,-3.627300003276921,supported
All,Mixed Pb-Sn,FF,Domain expert,98,25,-1.0020774248213873,8.27352070829019,10.278274656993432,-6.14767352175692,supported
All,Mixed Pb-Sn,PCE,Convex mixture,98,25,-0.07542819340883433,3.838381877222493,4.633906634248185,-2.321479025078958,supported
All,Mixed Pb-Sn,Voc,Convex mixture,98,25,0.00446583128171929,0.10253927390310506,0.14596124073301223,0.030099723356338197,supported
