scheme,outer_fold,calibration_partition,target,nominal_coverage,fit_records,fit_DOI,calibration_records,calibration_DOI,sigma_floor,normalized_residual_quantile,publication_balanced_calibration_coverage,tree_mean_max_difference
DOI-grouped 5-fold,fold_1,fold_2,PCE,0.9,19761,3820,6805,1274,1.5772783565442114,1.9166774476976944,0.8999740251455794,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,PCE,0.95,19761,3820,6805,1274,1.5772783565442114,2.417863711582633,0.9500084640253047,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,Voc,0.9,19761,3820,6805,1274,0.04076308800488888,1.8658441964992127,0.900158103911597,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,Voc,0.95,19761,3820,6805,1274,0.04076308800488888,2.5196273685484547,0.9499782779894006,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,Jsc,0.9,19761,3820,6805,1274,1.146565947188964,1.79571484520408,0.900357576194263,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,Jsc,0.95,19761,3820,6805,1274,1.146565947188964,2.4632959176509446,0.95004145970485,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,FF,0.9,19761,3820,6805,1274,4.041324188051591,1.9937615498634003,0.9000210967258077,8.881784197001252e-16
DOI-grouped 5-fold,fold_1,fold_2,FF,0.95,19761,3820,6805,1274,4.041324188051591,2.7271790653091155,0.950069903117306,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,PCE,0.9,19738,3820,6632,1274,1.607047958922534,1.99645628256423,0.8999444468595368,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,PCE,0.95,19738,3820,6632,1274,1.607047958922534,2.5262505749417894,0.9500707932602082,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,Voc,0.9,19738,3820,6632,1274,0.0389452848196731,1.8349757539408762,0.9000252726489264,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,Voc,0.95,19738,3820,6632,1274,0.0389452848196731,2.5522717867378035,0.9499966438885054,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,Jsc,0.9,19738,3820,6632,1274,1.261503673779423,1.878144284625733,0.9000456649977904,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,Jsc,0.95,19738,3820,6632,1274,1.261503673779423,2.6676398499565477,0.9496208915899972,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,FF,0.9,19738,3820,6632,1274,4.002983690291685,2.012140352671357,0.899990633958502,8.881784197001252e-16
DOI-grouped 5-fold,fold_2,fold_3,FF,0.95,19738,3820,6632,1274,4.002983690291685,2.7377205651053713,0.9499853563000283,8.881784197001252e-16
DOI-grouped 5-fold,fold_3,fold_4,PCE,0.9,19983,3821,6560,1273,1.6105523685672725,1.9127659681408835,0.8999306194998546,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,PCE,0.95,19983,3821,6560,1273,1.6105523685672725,2.365170529751081,0.9499518250964364,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,Voc,0.9,19983,3821,6560,1273,0.03931982303778884,1.689680732485756,0.8999104634434958,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,Voc,0.95,19983,3821,6560,1273,0.03931982303778884,2.349587849024876,0.9500719687108674,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,Jsc,0.9,19983,3821,6560,1273,1.1687597899992612,1.865742484890563,0.8999229158948909,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,Jsc,0.95,19983,3821,6560,1273,1.1687597899992612,2.563235026749661,0.9500216555659555,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,FF,0.9,19983,3821,6560,1273,4.045742677971773,1.8427364394366468,0.8999159604797065,1.3322676295501878e-15
DOI-grouped 5-fold,fold_3,fold_4,FF,0.95,19983,3821,6560,1273,4.045742677971773,2.381184016383586,0.9500130136833884,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,PCE,0.9,20046,3822,6569,1273,1.5803278784794206,1.880046967559465,0.8999995552771953,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,PCE,0.95,20046,3822,6569,1273,1.5803278784794206,2.3843842819803367,0.9497045995123405,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,Voc,0.9,20046,3822,6569,1273,0.03935708860822671,1.7338189445920598,0.899727522944497,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,Voc,0.95,20046,3822,6569,1273,0.03935708860822671,2.331430696526286,0.950053721705594,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,Jsc,0.9,20046,3822,6569,1273,1.177081774407008,1.7179790776000303,0.9000536277279583,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,Jsc,0.95,20046,3822,6569,1273,1.177081774407008,2.381882055541211,0.950021145785452,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,FF,0.9,20046,3822,6569,1273,4.144120774504697,1.8111026313130008,0.9000769757122417,1.3322676295501878e-15
DOI-grouped 5-fold,fold_4,fold_5,FF,0.95,20046,3822,6569,1273,4.144120774504697,2.4215657178038548,0.9500119984236676,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,PCE,0.9,19997,3821,6609,1274,1.6814396892199066,1.9381251079388675,0.9000904220746128,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,PCE,0.95,19997,3821,6609,1274,1.6814396892199066,2.455738392855892,0.9500221478463133,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,Voc,0.9,19997,3821,6609,1274,0.04079722537829206,1.7686066023603526,0.8999780059791443,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,Voc,0.95,19997,3821,6609,1274,0.04079722537829206,2.3064781687451807,0.9501216065484838,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,Jsc,0.9,19997,3821,6609,1274,1.1940972348946237,1.8485078241812816,0.9000451239123016,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,Jsc,0.95,19997,3821,6609,1274,1.1940972348946237,2.577279053768554,0.949946088039632,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,FF,0.9,19997,3821,6609,1274,4.096113250784124,1.884500007081493,0.8996871309566873,1.3322676295501878e-15
DOI-grouped 5-fold,fold_5,fold_1,FF,0.95,19997,3821,6609,1274,4.096113250784124,2.5739907165888365,0.950011876173321,1.3322676295501878e-15
Chronological >2018,holdout_2019_onward,publication_year_2018,PCE,0.9,15907,3133,8152,1500,1.7241467699626514,1.9926549898937826,0.8999412819025919,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,PCE,0.95,15907,3133,8152,1500,1.7241467699626514,2.450350012814487,0.9500513837230994,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,Voc,0.9,15907,3133,8152,1500,0.04230195750451874,1.7442833927844275,0.9000302557593589,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,Voc,0.95,15907,3133,8152,1500,0.04230195750451874,2.2405356071145053,0.9498299936661391,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,Jsc,0.9,15907,3133,8152,1500,1.3017089503291481,1.7990876446074295,0.9000420849569944,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,Jsc,0.95,15907,3133,8152,1500,1.3017089503291481,2.3611095148320014,0.949996846367628,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,FF,0.9,15907,3133,8152,1500,4.761855274102235,1.765178675587418,0.9000189555226477,8.881784197001252e-16
Chronological >2018,holdout_2019_onward,publication_year_2018,FF,0.95,15907,3133,8152,1500,4.761855274102235,2.275301756677555,0.9498550903396726,8.881784197001252e-16
